account_id,paysim_id,is_sender,is_receiver
A000001,C1000018432,1,0
A000002,C1000018730,1,0
A000003,C1000022185,0,1
A000004,C1000030947,0,1
A000005,C1000036340,1,0
A000006,C1000038201,0,1
A000007,C1000039615,0,1
A000008,C1000044204,0,1
A000009,C1000051776,0,1
A000010,C1000057469,0,1
A000011,C1000063833,1,0
A000012,C1000086512,1,0
A000013,C1000093936,1,0
A000014,C100009412,1,0
A000015,C1000104864,0,1
A000016,C1000149128,1,0
A000017,C1000151306,0,1
A000018,C100015204,1,0
A000019,C1000156006,0,1
A000020,C1000157415,0,1
A000021,C1000166426,1,0
A000022,C1000184524,1,0
A000023,C1000190405,1,0
A000024,C1000198199,1,0
A000025,C1000208736,1,0
A000026,C1000226677,1,0
A000027,C1000236008,1,0
A000028,C1000240829,0,1
A000029,C10002438,0,1
A000030,C1000252890,1,0
A000031,C1000261721,1,0
A000032,C1000285679,1,0
A000033,C100028684,0,1
A000034,C1000314808,0,1
A000035,C1000329802,1,0
A000036,C1000331499,1,0
A000037,C1000331638,0,1
A000038,C1000331691,0,1
A000039,C1000334245,0,1
A000040,C1000335648,1,0
A000041,C1000336421,1,0
A000042,C1000349642,0,1
A000043,C1000351574,0,1
A000044,C1000352325,0,1
A000045,C1000354295,1,0
A000046,C1000366107,0,1
A000047,C1000367306,0,1
A000048,C1000372693,1,0
A000049,C1000373159,0,1
A000050,C1000373644,1,0
A000051,C1000374016,0,1
A000052,C1000396674,0,1
A000053,C1000397700,1,0
A000054,C1000407130,0,1
A000055,C1000407200,1,0
A000056,C1000412561,1,0
A000057,C1000418948,1,0
A000058,C1000427141,1,0
A000059,C100042918,0,1
A000060,C1000430572,0,1
A000061,C1000434272,1,0
A000062,C1000443884,0,1
A000063,C1000467963,1,0
A000064,C1000469266,1,0
A000065,C1000469870,0,1
A000066,C1000471237,1,0
A000067,C1000471876,1,0
A000068,C1000484178,1,0
A000069,C1000487544,1,0
A000070,C1000495877,1,0
A000071,C1000513158,1,0
A000072,C1000513905,0,1
A000073,C1000534848,0,1
A000074,C1000551902,0,1
A000075,C10005638,0,1
