record_id,step,type,amount,nameOrig,oldbalanceOrg,newbalanceOrig,nameDest,oldbalanceDest,newbalanceDest,isFraud,isFlaggedFraud
R000001,659,TRANSFER,8899497.56,C61789702,80153.0,0.0,C781552024,3475282.39,12374779.95,0,0
R000002,139,CASH_OUT,264709.89,C1571818111,31172.0,0.0,C2134501100,351511.98,667266.09,0,0
R000003,347,TRANSFER,722116.26,C2127640830,11049.0,0.0,C1216524118,393062.65,1115178.91,0,0
R000004,41,CASH_IN,71160.21,C1269846125,16087864.17,16159024.37,C535852892,162209.34,91049.13,0,0
R000005,226,PAYMENT,21106.68,C1734087747,0.0,0.0,M1738858199,0.0,0.0,0,0
R000006,135,CASH_IN,178645.32,C874426574,451375.0,630020.32,C548919903,1585975.66,1407330.34,0,0
R000007,282,CASH_OUT,21423.25,C632521744,0.0,0.0,C596255425,220154.83,241578.08,0,0
R000008,333,TRANSFER,272486.0,C289927537,0.0,0.0,C520212529,881401.03,1153887.03,0,0
R000009,404,PAYMENT,8036.54,C924311763,0.0,0.0,M380432693,0.0,0.0,0,0
R000010,210,CASH_OUT,116868.19,C1678761958,23766.0,0.0,C134808544,0.0,116868.19,0,0
R000011,402,PAYMENT,17852.07,C698426823,0.0,0.0,M1826425477,0.0,0.0,0,0
R000012,96,PAYMENT,2598.4,C502078412,77493.0,74894.6,M2005651764,0.0,0.0,0,0
R000013,395,TRANSFER,260457.73,C103230112,0.0,0.0,C1221261894,289095.47,549553.21,0,0
R000014,167,CASH_OUT,83546.43,C336943899,19815.0,0.0,C1529240334,0.0,83546.43,0,0
R000015,347,TRANSFER,808088.69,C1237226456,291363.0,0.0,C604225528,0.0,808088.69,0,0
R000016,157,CASH_IN,75682.34,C1492250868,12445.0,88127.34,C235461768,478626.06,402943.72,0,0
R000017,164,CASH_IN,276778.21,C245239666,10865854.33,11142632.54,C917564615,2760650.97,2483872.76,0,0
R000018,381,CASH_OUT,69661.76,C549528477,21649.0,0.0,C518230591,0.0,69661.76,0,0
R000019,349,PAYMENT,10989.86,C1713969445,304332.26,293342.4,M1784913855,0.0,0.0,0,0
R000020,16,TRANSFER,261936.56,C1140224506,33200.0,0.0,C927179166,125975.1,588134.1,0,0
R000021,300,CASH_OUT,89194.61,C884181571,26159.0,0.0,C1270320813,1001501.63,1090696.24,0,0
R000022,183,PAYMENT,11644.2,C245850408,20189.0,8544.8,M1045873811,0.0,0.0,0,0
R000023,156,TRANSFER,254167.15,C514076656,254167.15,0.0,C1340029873,0.0,0.0,1,0
R000024,471,PAYMENT,2822.27,C1257436956,0.0,0.0,M1008856701,0.0,0.0,0,0
R000025,373,CASH_IN,51618.23,C1965628408,20352.0,71970.23,C200483770,830602.62,778984.39,0,0
R000026,318,TRANSFER,247455.25,C2126511572,247455.25,0.0,C1932237865,0.0,0.0,1,0
R000027,355,PAYMENT,11354.03,C1769474157,20617.0,9262.97,M592101968,0.0,0.0,0,0
R000028,492,PAYMENT,3855.1,C149071483,36272.0,32416.9,M196488242,0.0,0.0,0,0
R000029,323,CASH_OUT,483026.2,C1309953422,0.0,0.0,C1333600445,2525178.56,3008204.76,0,0
R000030,328,CASH_OUT,247343.64,C1612667007,51023.0,0.0,C311432832,285951.3,533294.94,0,0
R000031,688,CASH_OUT,117613.84,C742323773,0.0,0.0,C1982168080,4192675.22,4310289.06,0,0
R000032,262,TRANSFER,487511.77,C1280649060,0.0,0.0,C316761923,7560581.72,8048093.49,0,0
R000033,251,PAYMENT,8321.0,C898020631,0.0,0.0,M468789117,0.0,0.0,0,0
R000034,336,CASH_OUT,58837.01,C596686146,49260.97,0.0,C892883327,1988850.71,2047687.72,0,0
R000035,311,CASH_OUT,1275236.3,C937991476,1275236.3,0.0,C329005682,10656.62,1285892.92,1,0
R000036,260,TRANSFER,347808.72,C668914250,30845.0,0.0,C1484324162,300698.8,648507.53,0,0
R000037,684,CASH_IN,306885.36,C1053229664,3951672.63,4258557.99,C1236302993,2596904.47,2290019.11,0,0
R000038,17,PAYMENT,35116.47,C1439822554,8061.0,0.0,M2089901339,0.0,0.0,0,0
R000039,371,CASH_OUT,51494.03,C842027252,105653.0,54158.97,C2104268498,0.0,51494.03,0,0
R000040,277,CASH_OUT,76006.8,C2033714809,30942.0,0.0,C51409599,450820.86,526827.66,0,0
