record_id,step,type,amount,nameOrig,oldbalanceOrg,newbalanceOrig,nameDest,oldbalanceDest,newbalanceDest,isFraud,isFlaggedFraud,scenario_id,scenario_type,fraud_reason,severity,is_legitimate_counterexample,amount_percentile_flag,balance_usage_ratio
L01_000001,188,TRANSFER,1285361.8,C1185719924,3030875.18,1745513.38,C70120540,259972.72,1545334.52,0,0,L01_00001,LEGITIMATE_HIGH_VALUE,High-value transaction within observed legitimate transaction distribution,NONE,1,1,0.4241
L01_000002,225,TRANSFER,1999071.01,C196722893,5413781.15,3414710.14,C1530453131,5299783.08,7298854.09,0,0,L01_00002,LEGITIMATE_HIGH_VALUE,High-value transaction within observed legitimate transaction distribution,NONE,1,1,0.3693
L01_000003,348,TRANSFER,3348198.57,C544776618,8840052.46,5491853.89,C69470475,64015.51,3412214.08,0,0,L01_00003,LEGITIMATE_HIGH_VALUE,High-value transaction within observed legitimate transaction distribution,NONE,1,1,0.3788
L01_000004,214,TRANSFER,990839.48,C623413065,1714994.37,724154.89,C610557280,5090490.88,6081330.36,0,0,L01_00004,LEGITIMATE_HIGH_VALUE,High-value transaction within observed legitimate transaction distribution,NONE,1,1,0.5778
L01_000005,371,TRANSFER,1819482.93,C1630972848,3136559.69,1317076.76,C1011985119,137225.65,1956708.58,0,0,L01_00005,LEGITIMATE_HIGH_VALUE,High-value transaction within observed legitimate transaction distribution,NONE,1,1,0.5801
L01_000006,300,TRANSFER,1265521.91,C1294099349,2407353.67,1141831.76,C524974275,6118793.76,7384315.67,0,0,L01_00006,LEGITIMATE_HIGH_VALUE,High-value transaction within observed legitimate transaction distribution,NONE,1,1,0.5257
L01_000007,9,TRANSFER,956575.02,C1033141489,1952955.13,996380.11,C314245922,1522759.07,2479334.09,0,0,L01_00007,LEGITIMATE_HIGH_VALUE,High-value transaction within observed legitimate transaction distribution,NONE,1,1,0.4898
L01_000008,9,TRANSFER,1393833.26,C212669612,2944728.35,1550895.09,C1187639680,13176.0,1407009.26,0,0,L01_00008,LEGITIMATE_HIGH_VALUE,High-value transaction within observed legitimate transaction distribution,NONE,1,1,0.4733
L01_000009,227,TRANSFER,1353451.51,C458716822,3410083.1,2056631.59,C600464260,3512209.48,4865660.99,0,0,L01_00009,LEGITIMATE_HIGH_VALUE,High-value transaction within observed legitimate transaction distribution,NONE,1,1,0.3969
L01_000010,373,TRANSFER,1111269.01,C550098205,1761384.33,650115.32,C1992143269,6727.55,1117996.56,0,0,L01_00010,LEGITIMATE_HIGH_VALUE,High-value transaction within observed legitimate transaction distribution,NONE,1,1,0.6309
L01_000011,187,TRANSFER,2886864.99,C246847097,4480440.61,1593575.62,C33718267,161935.62,3048800.61,0,0,L01_00011,LEGITIMATE_HIGH_VALUE,High-value transaction within observed legitimate transaction distribution,NONE,1,1,0.6443
L01_000012,332,TRANSFER,3638862.57,C994163345,7597456.87,3958594.3,C2135981762,6666002.64,10304865.21,0,0,L01_00012,LEGITIMATE_HIGH_VALUE,High-value transaction within observed legitimate transaction distribution,NONE,1,1,0.479
L01_000013,136,TRANSFER,1744818.23,C2098577463,4441863.22,2697044.99,C321509815,2970256.68,4715074.91,0,0,L01_00013,LEGITIMATE_HIGH_VALUE,High-value transaction within observed legitimate transaction distribution,NONE,1,1,0.3928
L01_000014,304,TRANSFER,9712339.11,C365177156,17386573.13,7674234.02,C1235812541,20000000.0,29712339.11,0,0,L01_00014,LEGITIMATE_HIGH_VALUE,High-value transaction within observed legitimate transaction distribution,NONE,1,1,0.5586
L01_000015,43,TRANSFER,1394708.51,C1738470060,3434130.4,2039421.89,C814408370,2635268.04,4029976.55,0,0,L01_00015,LEGITIMATE_HIGH_VALUE,High-value transaction within observed legitimate transaction distribution,NONE,1,1,0.4061
L01_000016,280,TRANSFER,2187556.3,C2020479151,4133917.47,1946361.17,C647012170,4428968.96,6616525.26,0,0,L01_00016,LEGITIMATE_HIGH_VALUE,High-value transaction within observed legitimate transaction distribution,NONE,1,1,0.5292
L01_000017,35,TRANSFER,1523544.95,C2041113092,4310305.45,2786760.5,C856764552,3731099.16,5254644.11,0,0,L01_00017,LEGITIMATE_HIGH_VALUE,High-value transaction within observed legitimate transaction distribution,NONE,1,1,0.3535
L01_000018,378,TRANSFER,978500.24,C634267168,2782399.6,1803899.36,C566288962,9566038.72,10544538.96,0,0,L01_00018,LEGITIMATE_HIGH_VALUE,High-value transaction within observed legitimate transaction distribution,NONE,1,1,0.3517
L01_000019,478,TRANSFER,3218323.03,C595129866,6262633.93,3044310.9,C2011860169,6042898.2,9261221.23,0,0,L01_00019,LEGITIMATE_HIGH_VALUE,High-value transaction within observed legitimate transaction distribution,NONE,1,1,0.5139
L01_000020,358,TRANSFER,1734067.19,C525345686,3199337.72,1465270.53,C2053502773,8197192.29,9931259.48,0,0,L01_00020,LEGITIMATE_HIGH_VALUE,High-value transaction within observed legitimate transaction distribution,NONE,1,1,0.542
L01_000021,282,TRANSFER,30405380.97,C578190255,64366852.4,33961471.43,C65111466,35907858.62,66313239.59,0,0,L01_00021,LEGITIMATE_HIGH_VALUE,High-value transaction within observed legitimate transaction distribution,NONE,1,1,0.4724
L01_000022,251,TRANSFER,1420372.48,C1238210251,2643025.39,1222652.91,C1028583258,1725970.37,3146342.85,0,0,L01_00022,LEGITIMATE_HIGH_VALUE,High-value transaction within observed legitimate transaction distribution,NONE,1,1,0.5374
L01_000023,178,TRANSFER,1285155.26,C269814045,3223909.34,1938754.08,C1932971447,1630799.51,2915954.77,0,0,L01_00023,LEGITIMATE_HIGH_VALUE,High-value transaction within observed legitimate transaction distribution,NONE,1,1,0.3986
L01_000024,227,TRANSFER,1352899.5,C428844364,3705723.0,2352823.5,C312626283,3352699.14,4705598.64,0,0,L01_00024,LEGITIMATE_HIGH_VALUE,High-value transaction within observed legitimate transaction distribution,NONE,1,1,0.3651
L01_000025,17,TRANSFER,1157662.15,C1505092469,2905313.15,1747651.0,C345330137,1362689.74,2520351.89,0,0,L01_00025,LEGITIMATE_HIGH_VALUE,High-value transaction within observed legitimate transaction distribution,NONE,1,1,0.3985
L01_000026,130,TRANSFER,2358089.61,C910681965,6452972.75,4094883.14,C395588353,654097.29,3012186.9,0,0,L01_00026,LEGITIMATE_HIGH_VALUE,High-value transaction within observed legitimate transaction distribution,NONE,1,1,0.3654
L01_000027,327,TRANSFER,8691464.69,C34746218,18212862.08,9521397.39,C855437008,0.0,8691464.69,0,0,L01_00027,LEGITIMATE_HIGH_VALUE,High-value transaction within observed legitimate transaction distribution,NONE,1,1,0.4772
L01_000028,303,TRANSFER,18416675.64,C1459397014,31943271.88,13526596.24,C58333888,73047688.76,91464364.4,0,0,L01_00028,LEGITIMATE_HIGH_VALUE,High-value transaction within observed legitimate transaction distribution,NONE,1,1,0.5765
L01_000029,226,TRANSFER,1940311.97,C1786936351,5058250.54,3117938.57,C757002315,52468.17,1992780.14,0,0,L01_00029,LEGITIMATE_HIGH_VALUE,High-value transaction within observed legitimate transaction distribution,NONE,1,1,0.3836
L01_000030,328,TRANSFER,7839088.16,C818503742,15997319.38,8158231.22,C1447446716,334567.22,8173655.38,0,0,L01_00030,LEGITIMATE_HIGH_VALUE,High-value transaction within observed legitimate transaction distribution,NONE,1,1,0.49
L01_000031,9,TRANSFER,3665678.92,C1202737701,9189513.35,5523834.43,C483287972,720802.32,4386481.24,0,0,L01_00031,LEGITIMATE_HIGH_VALUE,High-value transaction within observed legitimate transaction distribution,NONE,1,1,0.3989
L01_000032,132,TRANSFER,2180447.97,C1018375901,4155859.51,1975411.54,C1262582882,1005424.37,3185872.34,0,0,L01_00032,LEGITIMATE_HIGH_VALUE,High-value transaction within observed legitimate transaction distribution,NONE,1,1,0.5247
L01_000033,346,TRANSFER,2897103.74,C1182988784,4698651.63,1801547.89,C1164918927,1545857.48,4442961.22,0,0,L01_00033,LEGITIMATE_HIGH_VALUE,High-value transaction within observed legitimate transaction distribution,NONE,1,1,0.6166
L01_000034,327,TRANSFER,2994168.18,C604229533,8949187.51,5955019.33,C447658882,51162.24,3045330.42,0,0,L01_00034,LEGITIMATE_HIGH_VALUE,High-value transaction within observed legitimate transaction distribution,NONE,1,1,0.3346
L01_000035,179,TRANSFER,2921055.71,C845839685,5065993.52,2144937.81,C1968237012,4421012.03,7342067.74,0,0,L01_00035,LEGITIMATE_HIGH_VALUE,High-value transaction within observed legitimate transaction distribution,NONE,1,1,0.5766
L01_000036,254,TRANSFER,2061896.18,C443779431,6149876.48,4087980.3,C1349793016,54327.41,2116223.59,0,0,L01_00036,LEGITIMATE_HIGH_VALUE,High-value transaction within observed legitimate transaction distribution,NONE,1,1,0.3353
L01_000037,154,TRANSFER,1937670.21,C288534494,5746974.63,3809304.42,C121569473,2458241.93,4395912.14,0,0,L01_00037,LEGITIMATE_HIGH_VALUE,High-value transaction within observed legitimate transaction distribution,NONE,1,1,0.3372
L01_000038,331,TRANSFER,1082613.1,C1138122624,2913016.47,1830403.37,C869368958,7713595.05,8796208.15,0,0,L01_00038,LEGITIMATE_HIGH_VALUE,High-value transaction within observed legitimate transaction distribution,NONE,1,1,0.3716
