record_id,step,type,amount,nameOrig,oldbalanceOrg,newbalanceOrig,nameDest,oldbalanceDest,newbalanceDest,isFraud,isFlaggedFraud,scenario_id,scenario_type,fraud_reason,severity,transaction_position,transactions_in_scenario,step_gap_from_previous,balance_usage_ratio,is_legitimate_counterexample
L02_000001,349,TRANSFER,7500.0,C132461955,50000.0,42500.0,C1947118716,0.0,7500.0,0,0,L02_00001,LEGITIMATE_REPEATED_TRANSFER,Repeated transfers occurring over a normal time interval with moderate amounts and consistent behavior,NONE,1,5,0,0.15,1
L02_000002,366,TRANSFER,6375.0,C132461955,42500.0,36125.0,C1947118716,0.0,6375.0,0,0,L02_00001,LEGITIMATE_REPEATED_TRANSFER,Repeated transfers occurring over a normal time interval with moderate amounts and consistent behavior,NONE,2,5,17,0.15,1
L02_000003,396,TRANSFER,5418.75,C132461955,36125.0,30706.25,C1947118716,0.0,5418.75,0,0,L02_00001,LEGITIMATE_REPEATED_TRANSFER,Repeated transfers occurring over a normal time interval with moderate amounts and consistent behavior,NONE,3,5,30,0.15,1
L02_000004,444,TRANSFER,4605.94,C132461955,30706.25,26100.31,C1947118716,0.0,4605.94,0,0,L02_00001,LEGITIMATE_REPEATED_TRANSFER,Repeated transfers occurring over a normal time interval with moderate amounts and consistent behavior,NONE,4,5,48,0.15,1
L02_000005,472,TRANSFER,3915.05,C132461955,26100.31,22185.26,C1947118716,0.0,3915.05,0,0,L02_00001,LEGITIMATE_REPEATED_TRANSFER,Repeated transfers occurring over a normal time interval with moderate amounts and consistent behavior,NONE,5,5,28,0.15,1
L02_000006,344,TRANSFER,18626.4,C1530037500,124176.0,105549.6,C242938392,0.0,18626.4,0,0,L02_00002,LEGITIMATE_REPEATED_TRANSFER,Repeated transfers occurring over a normal time interval with moderate amounts and consistent behavior,NONE,1,5,0,0.15,1
L02_000007,391,TRANSFER,15832.44,C1530037500,105549.6,89717.16,C242938392,0.0,15832.44,0,0,L02_00002,LEGITIMATE_REPEATED_TRANSFER,Repeated transfers occurring over a normal time interval with moderate amounts and consistent behavior,NONE,2,5,47,0.15,1
L02_000008,402,TRANSFER,13457.57,C1530037500,89717.16,76259.59,C242938392,0.0,13457.57,0,0,L02_00002,LEGITIMATE_REPEATED_TRANSFER,Repeated transfers occurring over a normal time interval with moderate amounts and consistent behavior,NONE,3,5,11,0.15,1
L02_000009,432,TRANSFER,11438.94,C1530037500,76259.59,64820.65,C242938392,0.0,11438.94,0,0,L02_00002,LEGITIMATE_REPEATED_TRANSFER,Repeated transfers occurring over a normal time interval with moderate amounts and consistent behavior,NONE,4,5,30,0.15,1
L02_000010,474,TRANSFER,9723.1,C1530037500,64820.65,55097.55,C242938392,0.0,9723.1,0,0,L02_00002,LEGITIMATE_REPEATED_TRANSFER,Repeated transfers occurring over a normal time interval with moderate amounts and consistent behavior,NONE,5,5,42,0.15,1
