record_id,step,type,amount,nameOrig,oldbalanceOrg,newbalanceOrig,nameDest,oldbalanceDest,newbalanceDest,isFraud,isFlaggedFraud,scenario_id,scenario_type,fraud_reason,severity,is_legitimate_counterexample,transaction_position,transaction_count_in_scenario,historical_pattern,balance_usage_ratio
L03_000001,425,TRANSFER,634179.4,C1322074321,8093401.56,7459222.16,C1639933778,0.0,634179.4,0,0,L03_00001,LEGITIMATE_HIGH_VALUE_HISTORY,High-value transaction consistent with normal historical account behavior,NONE,1,1,5,NORMAL,0.0784
L03_000002,459,TRANSFER,559619.64,C1322074321,7459222.16,6899602.52,C1639933778,0.0,559619.64,0,0,L03_00001,LEGITIMATE_HIGH_VALUE_HISTORY,High-value transaction consistent with normal historical account behavior,NONE,1,2,5,NORMAL,0.075
L03_000003,501,TRANSFER,771561.45,C1322074321,6899602.52,6128041.07,C1639933778,0.0,771561.45,0,0,L03_00001,LEGITIMATE_HIGH_VALUE_HISTORY,High-value transaction consistent with normal historical account behavior,NONE,1,3,5,NORMAL,0.1118
L03_000004,522,TRANSFER,770898.41,C1322074321,6128041.07,5357142.66,C1639933778,0.0,770898.41,0,0,L03_00001,LEGITIMATE_HIGH_VALUE_HISTORY,High-value transaction consistent with normal historical account behavior,NONE,1,4,5,NORMAL,0.1258
L03_000005,565,TRANSFER,1607142.8,C1322074321,5357142.66,3749999.86,C1639933778,0.0,1607142.8,0,0,L03_00001,LEGITIMATE_HIGH_VALUE_HISTORY,High-value transaction consistent with normal historical account behavior,NONE,1,5,5,NORMAL,0.3
L03_000006,324,TRANSFER,686896.77,C396524829,18470986.37,17784089.6,C1141137903,0.0,686896.77,0,0,L03_00002,LEGITIMATE_HIGH_VALUE_HISTORY,High-value transaction consistent with normal historical account behavior,NONE,1,1,5,NORMAL,0.0372
L03_000007,352,TRANSFER,646898.24,C396524829,17784089.6,17137191.36,C1141137903,0.0,646898.24,0,0,L03_00002,LEGITIMATE_HIGH_VALUE_HISTORY,High-value transaction consistent with normal historical account behavior,NONE,1,2,5,NORMAL,0.0364
L03_000008,400,TRANSFER,683874.5,C396524829,17137191.36,16453316.86,C1141137903,0.0,683874.5,0,0,L03_00002,LEGITIMATE_HIGH_VALUE_HISTORY,High-value transaction consistent with normal historical account behavior,NONE,1,3,5,NORMAL,0.0399
L03_000009,425,TRANSFER,296321.4,C396524829,16453316.86,16156995.46,C1141137903,0.0,296321.4,0,0,L03_00002,LEGITIMATE_HIGH_VALUE_HISTORY,High-value transaction consistent with normal historical account behavior,NONE,1,4,5,NORMAL,0.018
L03_000010,460,TRANSFER,4847098.64,C396524829,16156995.46,11309896.82,C1141137903,0.0,4847098.64,0,0,L03_00002,LEGITIMATE_HIGH_VALUE_HISTORY,High-value transaction consistent with normal historical account behavior,NONE,1,5,5,NORMAL,0.3
L03_000011,402,TRANSFER,659433.9,C2118928898,9103876.5,8444442.6,C1014935920,0.0,659433.9,0,0,L03_00003,LEGITIMATE_HIGH_VALUE_HISTORY,High-value transaction consistent with normal historical account behavior,NONE,1,1,5,NORMAL,0.0724
L03_000012,462,TRANSFER,511279.06,C2118928898,8444442.6,7933163.54,C1014935920,0.0,511279.06,0,0,L03_00003,LEGITIMATE_HIGH_VALUE_HISTORY,High-value transaction consistent with normal historical account behavior,NONE,1,2,5,NORMAL,0.0605
L03_000013,482,TRANSFER,635923.76,C2118928898,7933163.54,7297239.78,C1014935920,0.0,635923.76,0,0,L03_00003,LEGITIMATE_HIGH_VALUE_HISTORY,High-value transaction consistent with normal historical account behavior,NONE,1,3,5,NORMAL,0.0802
L03_000014,537,TRANSFER,721770.74,C2118928898,7297239.78,6575469.04,C1014935920,0.0,721770.74,0,0,L03_00003,LEGITIMATE_HIGH_VALUE_HISTORY,High-value transaction consistent with normal historical account behavior,NONE,1,4,5,NORMAL,0.0989
L03_000015,575,TRANSFER,1972640.71,C2118928898,6575469.04,4602828.33,C1014935920,0.0,1972640.71,0,0,L03_00003,LEGITIMATE_HIGH_VALUE_HISTORY,High-value transaction consistent with normal historical account behavior,NONE,1,5,5,NORMAL,0.3
L03_000016,416,TRANSFER,840373.44,C687785136,7628252.42,6787878.98,C311105273,0.0,840373.44,0,0,L03_00004,LEGITIMATE_HIGH_VALUE_HISTORY,High-value transaction consistent with normal historical account behavior,NONE,1,1,5,NORMAL,0.1102
L03_000017,450,TRANSFER,428082.08,C687785136,6787878.98,6359796.9,C311105273,0.0,428082.08,0,0,L03_00004,LEGITIMATE_HIGH_VALUE_HISTORY,High-value transaction consistent with normal historical account behavior,NONE,1,2,5,NORMAL,0.0631
L03_000018,486,TRANSFER,293227.3,C687785136,6359796.9,6066569.6,C311105273,0.0,293227.3,0,0,L03_00004,LEGITIMATE_HIGH_VALUE_HISTORY,High-value transaction consistent with normal historical account behavior,NONE,1,3,5,NORMAL,0.0461
