record_id,step,type,amount,nameOrig,oldbalanceOrg,newbalanceOrig,nameDest,oldbalanceDest,newbalanceDest,isFraud,isFlaggedFraud,scenario_id,scenario_type,fraud_reason,severity,is_legitimate_counterexample,previous_activity_step,dormant_gap,transaction_position,transaction_count_in_scenario,post_reactivation_pattern,balance_usage_ratio
L04_000001,414,TRANSFER,150399.26,C959831037,1002661.75,852262.49,C_LEGIT_750344456,119441.53,269840.79,0,0,L04_00001,LEGITIMATE_DORMANT_REACTIVATION,Dormant account resumed normal activity without suspicious transaction intensity,NONE,1,299,115,1,5,NORMAL,0.15
L04_000002,443,TRANSFER,23931.41,C959831037,852262.49,828331.08,C_LEGIT_832470469,41410.98,65342.39,0,0,L04_00001,LEGITIMATE_DORMANT_REACTIVATION,Dormant account resumed normal activity without suspicious transaction intensity,NONE,1,299,115,2,5,NORMAL,0.0281
L04_000003,482,TRANSFER,106467.35,C959831037,828331.08,721863.73,C_LEGIT_821787493,146343.63,252810.98,0,0,L04_00001,LEGITIMATE_DORMANT_REACTIVATION,Dormant account resumed normal activity without suspicious transaction intensity,NONE,1,299,115,3,5,NORMAL,0.1285
L04_000004,505,TRANSFER,62228.81,C959831037,721863.73,659634.92,C_LEGIT_157287969,42614.49,104843.3,0,0,L04_00001,LEGITIMATE_DORMANT_REACTIVATION,Dormant account resumed normal activity without suspicious transaction intensity,NONE,1,299,115,4,5,NORMAL,0.0862
L04_000005,555,PAYMENT,98945.24,C959831037,659634.92,560689.68,C_LEGIT_778202124,0.0,0.0,0,0,L04_00001,LEGITIMATE_DORMANT_REACTIVATION,Dormant account resumed normal activity without suspicious transaction intensity,NONE,1,299,115,5,5,NORMAL,0.15
L04_000006,329,TRANSFER,54433.91,C1779137596,881792.28,827358.37,C_LEGIT_827677672,36413.57,90847.48,0,0,L04_00002,LEGITIMATE_DORMANT_REACTIVATION,Dormant account resumed normal activity without suspicious transaction intensity,NONE,1,250,79,1,5,NORMAL,0.0617
L04_000007,353,TRANSFER,54613.78,C1779137596,827358.37,772744.59,C_LEGIT_706302227,76410.49,131024.27,0,0,L04_00002,LEGITIMATE_DORMANT_REACTIVATION,Dormant account resumed normal activity without suspicious transaction intensity,NONE,1,250,79,2,5,NORMAL,0.066
L04_000008,398,TRANSFER,115911.69,C1779137596,772744.59,656832.9,C_LEGIT_305074525,164903.04,280814.73,0,0,L04_00002,LEGITIMATE_DORMANT_REACTIVATION,Dormant account resumed normal activity without suspicious transaction intensity,NONE,1,250,79,3,5,NORMAL,0.15
L04_000009,425,TRANSFER,98524.94,C1779137596,656832.9,558307.96,C_LEGIT_420134044,108941.92,207466.86,0,0,L04_00002,LEGITIMATE_DORMANT_REACTIVATION,Dormant account resumed normal activity without suspicious transaction intensity,NONE,1,250,79,4,5,NORMAL,0.15
L04_000010,452,PAYMENT,83746.19,C1779137596,558307.96,474561.77,C_LEGIT_708057413,0.0,0.0,0,0,L04_00002,LEGITIMATE_DORMANT_REACTIVATION,Dormant account resumed normal activity without suspicious transaction intensity,NONE,1,250,79,5,5,NORMAL,0.15
L04_000011,344,CASH_OUT,70553.93,C1960258407,1410661.04,1340107.11,C_LEGIT_613717980,0.0,0.0,0,0,L04_00003,LEGITIMATE_DORMANT_REACTIVATION,Dormant account resumed normal activity without suspicious transaction intensity,NONE,1,252,92,1,5,NORMAL,0.05
L04_000012,393,TRANSFER,82732.66,C1960258407,1340107.11,1257374.45,C_LEGIT_676257098,131298.91,214031.57,0,0,L04_00003,LEGITIMATE_DORMANT_REACTIVATION,Dormant account resumed normal activity without suspicious transaction intensity,NONE,1,252,92,2,5,NORMAL,0.0617
L04_000013,412,TRANSFER,188606.17,C1960258407,1257374.45,1068768.28,C_LEGIT_795756808,326175.0,514781.17,0,0,L04_00003,LEGITIMATE_DORMANT_REACTIVATION,Dormant account resumed normal activity without suspicious transaction intensity,NONE,1,252,92,3,5,NORMAL,0.15
L04_000014,431,TRANSFER,110803.21,C1960258407,1068768.28,957965.07,C_LEGIT_727142029,140516.11,251319.32,0,0,L04_00003,LEGITIMATE_DORMANT_REACTIVATION,Dormant account resumed normal activity without suspicious transaction intensity,NONE,1,252,92,4,5,NORMAL,0.1037
L04_000015,475,CASH_OUT,30260.56,C1960258407,957965.07,927704.51,C_LEGIT_786501073,0.0,0.0,0,0,L04_00003,LEGITIMATE_DORMANT_REACTIVATION,Dormant account resumed normal activity without suspicious transaction intensity,NONE,1,252,92,5,5,NORMAL,0.0316
L04_000016,131,PAYMENT,122012.0,C782672786,813413.33,691401.33,C_LEGIT_807963859,0.0,0.0,0,0,L04_00004,LEGITIMATE_DORMANT_REACTIVATION,Dormant account resumed normal activity without suspicious transaction intensity,NONE,1,19,112,1,5,NORMAL,0.15
L04_000017,149,PAYMENT,103710.2,C782672786,691401.33,587691.13,C_LEGIT_570811920,0.0,0.0,0,0,L04_00004,LEGITIMATE_DORMANT_REACTIVATION,Dormant account resumed normal activity without suspicious transaction intensity,NONE,1,19,112,2,5,NORMAL,0.15
L04_000018,172,PAYMENT,88153.67,C782672786,587691.13,499537.46,C_LEGIT_425545596,0.0,0.0,0,0,L04_00004,LEGITIMATE_DORMANT_REACTIVATION,Dormant account resumed normal activity without suspicious transaction intensity,NONE,1,19,112,3,5,NORMAL,0.15
L04_000019,212,TRANSFER,74930.62,C782672786,499537.46,424606.84,C_LEGIT_145587900,63464.35,138394.97,0,0,L04_00004,LEGITIMATE_DORMANT_REACTIVATION,Dormant account resumed normal activity without suspicious transaction intensity,NONE,1,19,112,4,5,NORMAL,0.15
L04_000020,252,TRANSFER,55340.0,C782672786,424606.84,369266.84,C_LEGIT_139892644,69756.65,125096.65,0,0,L04_00004,LEGITIMATE_DORMANT_REACTIVATION,Dormant account resumed normal activity without suspicious transaction intensity,NONE,1,19,112,5,5,NORMAL,0.1303
L04_000021,444,TRANSFER,137201.46,C977774176,914676.37,777474.91,C_LEGIT_886780760,139979.05,277180.51,0,0,L04_00005,LEGITIMATE_DORMANT_REACTIVATION,Dormant account resumed normal activity without suspicious transaction intensity,NONE,1,346,98,1,5,NORMAL,0.15
L04_000022,490,TRANSFER,116621.24,C977774176,777474.91,660853.67,C_LEGIT_783871319,213079.33,329700.57,0,0,L04_00005,LEGITIMATE_DORMANT_REACTIVATION,Dormant account resumed normal activity without suspicious transaction intensity,NONE,1,346,98,2,5,NORMAL,0.15
L04_000023,526,TRANSFER,65751.01,C977774176,660853.67,595102.66,C_LEGIT_541044558,115757.09,181508.1,0,0,L04_00005,LEGITIMATE_DORMANT_REACTIVATION,Dormant account resumed normal activity without suspicious transaction intensity,NONE,1,346,98,3,5,NORMAL,0.0995
L04_000024,541,TRANSFER,89265.4,C977774176,595102.66,505837.26,C_LEGIT_654434910,64851.8,154117.2,0,0,L04_00005,LEGITIMATE_DORMANT_REACTIVATION,Dormant account resumed normal activity without suspicious transaction intensity,NONE,1,346,98,4,5,NORMAL,0.15
L04_000025,577,TRANSFER,40712.96,C977774176,505837.26,465124.3,C_LEGIT_366671039,56255.22,96968.18,0,0,L04_00005,LEGITIMATE_DORMANT_REACTIVATION,Dormant account resumed normal activity without suspicious transaction intensity,NONE,1,346,98,5,5,NORMAL,0.0805
L04_000026,335,CASH_OUT,49217.72,C842234596,688192.33,638974.61,C_LEGIT_792640661,0.0,0.0,0,0,L04_00006,LEGITIMATE_DORMANT_REACTIVATION,Dormant account resumed normal activity without suspicious transaction intensity,NONE,1,201,134,1,5,NORMAL,0.0715
L04_000027,360,TRANSFER,95846.19,C842234596,638974.61,543128.42,C_LEGIT_602420620,145131.99,240978.18,0,0,L04_00006,LEGITIMATE_DORMANT_REACTIVATION,Dormant account resumed normal activity without suspicious transaction intensity,NONE,1,201,134,2,5,NORMAL,0.15
L04_000028,399,CASH_OUT,81469.26,C842234596,543128.42,461659.16,C_LEGIT_699863241,0.0,0.0,0,0,L04_00006,LEGITIMATE_DORMANT_REACTIVATION,Dormant account resumed normal activity without suspicious transaction intensity,NONE,1,201,134,3,5,NORMAL,0.15
L04_000029,433,CASH_OUT,69248.87,C842234596,461659.16,392410.29,C_LEGIT_664435846,0.0,0.0,0,0,L04_00006,LEGITIMATE_DORMANT_REACTIVATION,Dormant account resumed normal activity without suspicious transaction intensity,NONE,1,201,134,4,5,NORMAL,0.15
