record_id,step,type,amount,nameOrig,oldbalanceOrg,newbalanceOrig,nameDest,oldbalanceDest,newbalanceDest,isFraud,isFlaggedFraud,scenario_id,scenario_type,fraud_reason,severity,is_legitimate_counterexample,transaction_position,transaction_count_in_scenario,combined_scenario_amount,step_gap_from_previous,balance_usage_ratio,behavior_pattern
L05_000001,185,TRANSFER,2103.15,C529501411,42063.0,39959.85,C_LEGIT_493671925,0.0,2103.15,0,0,L05_00001,LEGITIMATE_MULTIPLE_SMALL_TRANSACTIONS,None - repeated small transactions within normal behavioral range,NONE,1,1,7,12688.84,0,0.05,NORMAL_REPEATED_ACTIVITY
L05_000002,218,TRANSFER,1997.99,C529501411,39959.85,37961.86,C_LEGIT_649491157,0.0,1997.99,0,0,L05_00001,LEGITIMATE_MULTIPLE_SMALL_TRANSACTIONS,None - repeated small transactions within normal behavioral range,NONE,1,2,7,12688.84,33,0.05,NORMAL_REPEATED_ACTIVITY
L05_000003,223,TRANSFER,1898.09,C529501411,37961.86,36063.77,C_LEGIT_190433362,0.0,1898.09,0,0,L05_00001,LEGITIMATE_MULTIPLE_SMALL_TRANSACTIONS,None - repeated small transactions within normal behavioral range,NONE,1,3,7,12688.84,5,0.05,NORMAL_REPEATED_ACTIVITY
L05_000004,226,TRANSFER,1803.19,C529501411,36063.77,34260.58,C_LEGIT_955736704,0.0,1803.19,0,0,L05_00001,LEGITIMATE_MULTIPLE_SMALL_TRANSACTIONS,None - repeated small transactions within normal behavioral range,NONE,1,4,7,12688.84,3,0.05,NORMAL_REPEATED_ACTIVITY
L05_000005,230,TRANSFER,1713.03,C529501411,34260.58,32547.55,C_LEGIT_912703666,0.0,1713.03,0,0,L05_00001,LEGITIMATE_MULTIPLE_SMALL_TRANSACTIONS,None - repeated small transactions within normal behavioral range,NONE,1,5,7,12688.84,4,0.05,NORMAL_REPEATED_ACTIVITY
L05_000006,235,TRANSFER,1627.38,C529501411,32547.55,30920.17,C_LEGIT_373862499,0.0,1627.38,0,0,L05_00001,LEGITIMATE_MULTIPLE_SMALL_TRANSACTIONS,None - repeated small transactions within normal behavioral range,NONE,1,6,7,12688.84,5,0.05,NORMAL_REPEATED_ACTIVITY
L05_000007,236,TRANSFER,1546.01,C529501411,30920.17,29374.16,C_LEGIT_382011091,0.0,1546.01,0,0,L05_00001,LEGITIMATE_MULTIPLE_SMALL_TRANSACTIONS,None - repeated small transactions within normal behavioral range,NONE,1,7,7,12688.84,1,0.05,NORMAL_REPEATED_ACTIVITY
L05_000008,55,TRANSFER,204.96,C1720448151,4099.27,3894.31,C_LEGIT_923487388,0.0,204.96,0,0,L05_00002,LEGITIMATE_MULTIPLE_SMALL_TRANSACTIONS,None - repeated small transactions within normal behavioral range,NONE,1,1,7,1236.6,0,0.05,NORMAL_REPEATED_ACTIVITY
L05_000009,72,TRANSFER,194.72,C1720448151,3894.31,3699.59,C_LEGIT_372451263,0.0,194.72,0,0,L05_00002,LEGITIMATE_MULTIPLE_SMALL_TRANSACTIONS,None - repeated small transactions within normal behavioral range,NONE,1,2,7,1236.6,17,0.05,NORMAL_REPEATED_ACTIVITY
L05_000010,79,TRANSFER,184.98,C1720448151,3699.59,3514.61,C_LEGIT_725354182,0.0,184.98,0,0,L05_00002,LEGITIMATE_MULTIPLE_SMALL_TRANSACTIONS,None - repeated small transactions within normal behavioral range,NONE,1,3,7,1236.6,7,0.05,NORMAL_REPEATED_ACTIVITY
L05_000011,91,TRANSFER,175.73,C1720448151,3514.61,3338.88,C_LEGIT_253208407,0.0,175.73,0,0,L05_00002,LEGITIMATE_MULTIPLE_SMALL_TRANSACTIONS,None - repeated small transactions within normal behavioral range,NONE,1,4,7,1236.6,12,0.05,NORMAL_REPEATED_ACTIVITY
L05_000012,105,TRANSFER,166.94,C1720448151,3338.88,3171.94,C_LEGIT_360925009,0.0,166.94,0,0,L05_00002,LEGITIMATE_MULTIPLE_SMALL_TRANSACTIONS,None - repeated small transactions within normal behavioral range,NONE,1,5,7,1236.6,14,0.05,NORMAL_REPEATED_ACTIVITY
L05_000013,123,TRANSFER,158.6,C1720448151,3171.94,3013.34,C_LEGIT_127452418,0.0,158.6,0,0,L05_00002,LEGITIMATE_MULTIPLE_SMALL_TRANSACTIONS,None - repeated small transactions within normal behavioral range,NONE,1,6,7,1236.6,18,0.05,NORMAL_REPEATED_ACTIVITY
