record_id,step,type,amount,nameOrig,oldbalanceOrg,newbalanceOrig,nameDest,oldbalanceDest,newbalanceDest,isFraud,isFlaggedFraud,scenario_id,scenario_type,severity,is_legitimate_counterexample,chain_position,chain_role,step_gap_from_previous,cashout_ratio,sender_balance_usage_ratio,destination_balance_usage_ratio,scenario_total_amount,newbalanceOrg
L06_000001,40,TRANSFER,94803.63,C1980953545,1207841.84,1113038.21,C38219456,1031296.26,1126099.8900000001,0,0,L06_000001,LEGITIMATE_TRANSFER_CASHOUT,NONE,1,1,TRANSFER,0,0.2558738699810722,0.07849010264456478,0.0215414016246818,119061.40000000001,
L06_000002,44,CASH_OUT,24257.77,C38219456,1126099.8900000001,798679.45,CASHOUT_L06_000001,0.0,0.0,0,0,L06_000001,LEGITIMATE_TRANSFER_CASHOUT,NONE,1,2,CASH_OUT,4,0.2558738699810722,0.07849010264456478,0.0215414016246818,119061.40000000001,1101842.12
L06_000003,376,TRANSFER,14890.39,C102872637,106145.0,91254.61,C2015311009,287965.3,302855.69,0,0,L06_000002,LEGITIMATE_TRANSFER_CASHOUT,NONE,1,1,TRANSFER,0,0.5849347228629851,0.14028348014508454,0.028759274755577484,23600.3,
L06_000004,378,CASH_OUT,8709.91,C2015311009,302855.69,0.0,CASHOUT_L06_000002,0.0,0.0,0,0,L06_000002,LEGITIMATE_TRANSFER_CASHOUT,NONE,1,2,CASH_OUT,2,0.5849347228629851,0.14028348014508454,0.028759274755577484,23600.3,294145.78
L06_000005,279,TRANSFER,13144.05,C1054430065,198074.0,184929.95,C1483387344,114055.24,127199.29000000001,0,0,L06_000003,LEGITIMATE_TRANSFER_CASHOUT,NONE,1,1,TRANSFER,0,0.5511999698858833,0.06635928996233731,0.056957865095001704,20389.05,
L06_000006,282,CASH_OUT,7245.0,C1483387344,127199.29000000001,0.0,CASHOUT_L06_000003,0.0,0.0,0,0,L06_000003,LEGITIMATE_TRANSFER_CASHOUT,NONE,1,2,CASH_OUT,3,0.5511999698858833,0.06635928996233731,0.056957865095001704,20389.05,119954.29000000001
L06_000007,163,TRANSFER,8727.29,C1415875860,59906.0,51178.71,C20973202,133284.91,142012.2,0,0,L06_000004,LEGITIMATE_TRANSFER_CASHOUT,NONE,1,1,TRANSFER,0,0.2793487181887534,0.1456830701432244,0.017167257460978705,11165.25,
L06_000008,167,CASH_OUT,2437.96,C20973202,142012.2,0.0,CASHOUT_L06_000004,0.0,0.0,0,0,L06_000004,LEGITIMATE_TRANSFER_CASHOUT,NONE,1,2,CASH_OUT,4,0.2793487181887534,0.1456830701432244,0.017167257460978705,11165.25,139574.24000000002
L06_000009,137,TRANSFER,29431.4,C1287943376,328826.0,299394.6,C1653949328,268687.84,298119.24000000005,0,0,L06_000005,LEGITIMATE_TRANSFER_CASHOUT,NONE,1,1,TRANSFER,0,0.5451858396717515,0.08950447957278318,0.0538226918866424,45476.98,
L06_000010,140,CASH_OUT,16045.58,C1653949328,298119.24000000005,46458.29,CASHOUT_L06_000005,0.0,0.0,0,0,L06_000005,LEGITIMATE_TRANSFER_CASHOUT,NONE,1,2,CASH_OUT,3,0.5451858396717515,0.08950447957278318,0.0538226918866424,45476.98,282073.66000000003
