record_id,step,type,amount,nameOrig,oldbalanceOrg,newbalanceOrig,nameDest,oldbalanceDest,newbalanceDest,isFraud,isFlaggedFraud,scenario_id,scenario_type,severity,is_legitimate_counterexample,previous_activity_step,dormant_gap,reactivation_position,balance_usage_ratio,scenario_transaction_count,scenario_total_amount
L07_000001,807,PAYMENT,7925.42,C469551489,511687.645,503762.22500000003,C_L07_726314985,0.0,7925.42,0,0,L07_000001,LEGITIMATE_DORMANT_REACTIVATION,NONE,1,709,98,1,0.015488785155248375,5,68559.97
L07_000002,814,TRANSFER,5138.48,C469551489,503762.22500000003,498623.74500000005,C_L07_933131170,0.0,5138.48,0,0,L07_000001,LEGITIMATE_DORMANT_REACTIVATION,NONE,1,709,98,2,0.01020020903711071,5,68559.97
L07_000003,820,TRANSFER,35860.89,C469551489,498623.74500000005,462762.85500000004,C_L07_299635168,0.0,35860.89,0,0,L07_000001,LEGITIMATE_DORMANT_REACTIVATION,NONE,1,709,98,3,0.07191973980300516,5,68559.97
L07_000004,822,TRANSFER,6650.9,C469551489,462762.85500000004,456111.955,C_L07_948763701,0.0,6650.9,0,0,L07_000001,LEGITIMATE_DORMANT_REACTIVATION,NONE,1,709,98,4,0.014372156123031955,5,68559.97
L07_000005,826,TRANSFER,12984.28,C469551489,456111.955,443127.675,C_L07_270415241,0.0,12984.28,0,0,L07_000001,LEGITIMATE_DORMANT_REACTIVATION,NONE,1,709,98,5,0.02846730908423569,5,68559.97
L07_000006,442,TRANSFER,47701.26,C244140230,511687.645,463986.385,C_L07_484278873,0.0,47701.26,0,0,L07_000002,LEGITIMATE_DORMANT_REACTIVATION,NONE,1,305,137,1,0.093223396081803,5,106556.99
L07_000007,443,PAYMENT,7778.31,C244140230,463986.385,456208.075,C_L07_425977355,0.0,7778.31,0,0,L07_000002,LEGITIMATE_DORMANT_REACTIVATION,NONE,1,305,137,2,0.01676409104116277,5,106556.99
L07_000008,445,TRANSFER,16643.01,C244140230,456208.075,439565.065,C_L07_410146645,0.0,16643.01,0,0,L07_000002,LEGITIMATE_DORMANT_REACTIVATION,NONE,1,305,137,3,0.03648118240783002,5,106556.99
L07_000009,446,TRANSFER,15412.93,C244140230,439565.065,424152.135,C_L07_840780079,0.0,15412.93,0,0,L07_000002,LEGITIMATE_DORMANT_REACTIVATION,NONE,1,305,137,4,0.035064046775418786,5,106556.99
L07_000010,448,CASH_OUT,19021.48,C244140230,424152.135,405130.655,CASHOUT_L07_000002,0.0,0.0,0,0,L07_000002,LEGITIMATE_DORMANT_REACTIVATION,NONE,1,305,137,5,0.04484589002481385,5,106556.99
L07_000011,819,PAYMENT,46390.05,C469551489,511687.645,465297.59500000003,C_L07_231597982,0.0,46390.05,0,0,L07_000003,LEGITIMATE_DORMANT_REACTIVATION,NONE,1,709,110,1,0.09066087573797096,5,154626.89
L07_000012,821,PAYMENT,34335.46,C469551489,465297.59500000003,430962.135,C_L07_518429031,0.0,34335.46,0,0,L07_000003,LEGITIMATE_DORMANT_REACTIVATION,NONE,1,709,110,2,0.07379247253577573,5,154626.89
