record_id,step,type,amount,nameOrig,oldbalanceOrg,newbalanceOrig,nameDest,oldbalanceDest,newbalanceDest,isFraud,isFlaggedFraud,scenario_id,scenario_type,severity,is_legitimate_counterexample,concentration_position,senders_in_scenario,step_gap_from_previous,destination_balance_usage_ratio,scenario_total_amount
L08_000001,384,TRANSFER,60938.27,C1181474075,406255.14,345316.87,C437746371,4554018.15,4614956.42,0,0,L08_000001,LEGITIMATE_DESTINATION_CONCENTRATION,NONE,1,1,5,0,0.013205,211603.39
L08_000002,414,TRANSFER,34266.27,C1327362176,228441.78,194175.51,C437746371,1583394.98,1617661.25,0,0,L08_000001,LEGITIMATE_DESTINATION_CONCENTRATION,NONE,1,2,5,30,0.021183,211603.39
L08_000003,433,TRANSFER,19481.13,C459039342,129874.2,110393.07,C437746371,190173.49,209654.62,0,0,L08_000001,LEGITIMATE_DESTINATION_CONCENTRATION,NONE,1,3,5,19,0.09292,211603.39
L08_000004,453,TRANSFER,52270.99,C1636729899,348473.24,296202.25,C437746371,1528297.45,1580568.44,0,0,L08_000001,LEGITIMATE_DESTINATION_CONCENTRATION,NONE,1,4,5,20,0.033071,211603.39
L08_000005,458,TRANSFER,44646.73,C1588281916,297644.84,252998.11,C437746371,312527.11,357173.84,0,0,L08_000001,LEGITIMATE_DESTINATION_CONCENTRATION,NONE,1,5,5,5,0.125,211603.39
L08_000006,321,TRANSFER,15149.3,C1309250764,100995.32,85846.02,C179756319,823544.36,838693.66,0,0,L08_000002,LEGITIMATE_DESTINATION_CONCENTRATION,NONE,1,1,5,0,0.018063,172418.56
L08_000007,343,TRANSFER,52290.99,C1173694850,348606.58,296315.59,C179756319,1073734.76,1126025.75,0,0,L08_000002,LEGITIMATE_DESTINATION_CONCENTRATION,NONE,1,2,5,22,0.046439,172418.56
L08_000008,355,TRANSFER,26035.15,C1865177346,173567.66,147532.51,C179756319,1261318.16,1287353.31,0,0,L08_000002,LEGITIMATE_DESTINATION_CONCENTRATION,NONE,1,3,5,12,0.020224,172418.56
L08_000009,376,TRANSFER,10755.53,C1475934078,71703.52,60947.99,C179756319,1352981.16,1363736.69,0,0,L08_000002,LEGITIMATE_DESTINATION_CONCENTRATION,NONE,1,4,5,21,0.007887,172418.56
L08_000010,388,TRANSFER,68187.59,C1564330689,454583.9,386396.31,C179756319,477313.13,545500.72,0,0,L08_000002,LEGITIMATE_DESTINATION_CONCENTRATION,NONE,1,5,5,12,0.125,172418.56
L08_000011,509,TRANSFER,38548.75,C731930475,256991.7,218442.95,C189062630,269841.25,308390.0,0,0,L08_000003,LEGITIMATE_DESTINATION_CONCENTRATION,NONE,1,1,5,0,0.125,232464.57
L08_000012,539,TRANSFER,65552.81,C1400725920,437018.74,371465.93,C189062630,5002326.17,5067878.98,0,0,L08_000003,LEGITIMATE_DESTINATION_CONCENTRATION,NONE,1,2,5,30,0.012935,232464.57
L08_000013,551,TRANSFER,73533.63,C1012156131,490224.22,416690.59,C189062630,2909820.22,2983353.85,0,0,L08_000003,LEGITIMATE_DESTINATION_CONCENTRATION,NONE,1,3,5,12,0.024648,232464.57
L08_000014,574,TRANSFER,24616.98,C782181609,164113.22,139496.24,C189062630,1085357.05,1109974.03,0,0,L08_000003,LEGITIMATE_DESTINATION_CONCENTRATION,NONE,1,4,5,23,0.022178,232464.57
L08_000015,600,TRANSFER,30212.4,C935187464,201416.0,171203.6,C189062630,279387.06,309599.46,0,0,L08_000003,LEGITIMATE_DESTINATION_CONCENTRATION,NONE,1,5,5,26,0.097585,232464.57
L08_000016,479,TRANSFER,28254.83,C848665431,188365.52,160110.69,C1820510169,1522929.32,1551184.15,0,0,L08_000004,LEGITIMATE_DESTINATION_CONCENTRATION,NONE,1,1,5,0,0.018215,134016.33
L08_000017,487,TRANSFER,15079.88,C1094976336,100532.56,85452.68,C1820510169,295106.79,310186.67,0,0,L08_000004,LEGITIMATE_DESTINATION_CONCENTRATION,NONE,1,2,5,8,0.048615,134016.33
L08_000018,495,TRANSFER,14535.05,C1571400148,96900.34,82365.29,C1820510169,1056845.25,1071380.3,0,0,L08_000004,LEGITIMATE_DESTINATION_CONCENTRATION,NONE,1,3,5,8,0.013567,134016.33
L08_000019,508,TRANSFER,52666.22,C2144045674,351108.16,298441.94,C1820510169,1781958.39,1834624.61,0,0,L08_000004,LEGITIMATE_DESTINATION_CONCENTRATION,NONE,1,4,5,13,0.028707,134016.33
L08_000020,538,TRANSFER,23480.35,C657815805,156535.7,133055.35,C1820510169,1995538.65,2019019.0,0,0,L08_000004,LEGITIMATE_DESTINATION_CONCENTRATION,NONE,1,5,5,30,0.01163,134016.33
L08_000021,490,TRANSFER,44482.46,C171460030,296549.7,252067.24,C1651432416,2326933.79,2371416.25,0,0,L08_000005,LEGITIMATE_DESTINATION_CONCENTRATION,NONE,1,1,5,0,0.018758,195409.15
L08_000022,516,TRANSFER,43952.34,C1919668629,293015.6,249063.26,C1651432416,4582909.32,4626861.66,0,0,L08_000005,LEGITIMATE_DESTINATION_CONCENTRATION,NONE,1,2,5,26,0.009499,195409.15
L08_000023,544,TRANSFER,16156.5,C2049156948,107710.0,91553.5,C1651432416,113095.5,129252.0,0,0,L08_000005,LEGITIMATE_DESTINATION_CONCENTRATION,NONE,1,3,5,28,0.125,195409.15
L08_000024,560,TRANSFER,64982.68,C1788401055,433217.88,368235.2,C1651432416,821455.16,886437.84,0,0,L08_000005,LEGITIMATE_DESTINATION_CONCENTRATION,NONE,1,4,5,16,0.073308,195409.15
L08_000025,586,TRANSFER,25835.17,C1906074376,172234.48,146399.31,C1651432416,12177663.01,12203498.18,0,0,L08_000005,LEGITIMATE_DESTINATION_CONCENTRATION,NONE,1,5,5,26,0.002117,195409.15
L08_000026,316,TRANSFER,19055.47,C350995716,127036.5,107981.03,C484296651,503260.38,522315.85,0,0,L08_000006,LEGITIMATE_DESTINATION_CONCENTRATION,NONE,1,1,5,0,0.036483,162681.37
L08_000027,330,TRANSFER,62336.88,C1362373711,415579.18,353242.3,C484296651,7577130.74,7639467.62,0,0,L08_000006,LEGITIMATE_DESTINATION_CONCENTRATION,NONE,1,2,5,14,0.00816,162681.37
L08_000028,343,TRANSFER,38571.17,C1927539066,257141.16,218569.99,C484296651,895730.55,934301.72,0,0,L08_000006,LEGITIMATE_DESTINATION_CONCENTRATION,NONE,1,3,5,13,0.041283,162681.37
L08_000029,373,TRANSFER,7043.11,C919800556,46954.04,39910.93,C484296651,4771093.91,4778137.02,0,0,L08_000006,LEGITIMATE_DESTINATION_CONCENTRATION,NONE,1,4,5,30,0.001474,162681.37
L08_000030,385,TRANSFER,35674.74,C707097278,237831.62,202156.88,C484296651,3049432.09,3085106.83,0,0,L08_000006,LEGITIMATE_DESTINATION_CONCENTRATION,NONE,1,5,5,12,0.011564,162681.37
L08_000031,302,TRANSFER,31117.37,C824556172,207449.16,176331.79,C580408852,2900841.63,2931959.0,0,0,L08_000007,LEGITIMATE_DESTINATION_CONCENTRATION,NONE,1,1,5,0,0.010613,155666.55
