record_id,step,type,amount,nameOrig,oldbalanceOrg,newbalanceOrig,nameDest,oldbalanceDest,newbalanceDest,isFraud,isFlaggedFraud,scenario_id,scenario_type,severity,is_legitimate_counterexample,cycle_position,cycle_length,step_gap_from_previous,scenario_step_window,scenario_total_amount,balance_usage_ratio,historical_pattern,cycle_pattern
L09_000001,422,TRANSFER,117844.28,CL000001_1,1298324.69,1180480.41,CL000001_2,1652607.91,1770452.19,0,0,L09_000001,LEGITIMATE_CIRCULAR_TRANSACTION,NONE,1,1,4,0,5,395510.73,0.090766,NORMAL,A->B->C->D->A
L09_000002,425,TRANSFER,110895.1,CL000001_2,1770452.19,1659557.09,CL000001_3,2181646.6,2292541.7,0,0,L09_000001,LEGITIMATE_CIRCULAR_TRANSACTION,NONE,1,2,4,3,5,395510.73,0.062637,NORMAL,A->B->C->D->A
L09_000003,426,TRANSFER,101205.28,CL000001_3,2292541.7,2191336.42,CL000001_4,1988926.9,2090132.18,0,0,L09_000001,LEGITIMATE_CIRCULAR_TRANSACTION,NONE,1,3,4,1,5,395510.73,0.044145,NORMAL,A->B->C->D->A
L09_000004,427,TRANSFER,65566.07,CL000001_4,2090132.18,2024566.11,CL000001_1,1180480.41,1246046.48,0,0,L09_000001,LEGITIMATE_CIRCULAR_TRANSACTION,NONE,1,4,4,1,5,395510.73,0.031369,NORMAL,A->B->C->D->A
L09_000005,411,TRANSFER,121212.66,CL000002_1,2220665.87,2099453.21,CL000002_2,2516958.23,2638170.89,0,0,L09_000002,LEGITIMATE_CIRCULAR_TRANSACTION,NONE,1,1,4,0,7,315227.68,0.054584,NORMAL,A->B->C->D->A
L09_000006,413,TRANSFER,110959.8,CL000002_2,2638170.89,2527211.09,CL000002_3,2365466.1,2476425.9,0,0,L09_000002,LEGITIMATE_CIRCULAR_TRANSACTION,NONE,1,2,4,2,7,315227.68,0.042059,NORMAL,A->B->C->D->A
L09_000007,415,TRANSFER,61512.45,CL000002_3,2476425.9,2414913.45,CL000002_4,2492389.09,2553901.54,0,0,L09_000002,LEGITIMATE_CIRCULAR_TRANSACTION,NONE,1,3,4,2,7,315227.68,0.024839,NORMAL,A->B->C->D->A
L09_000008,418,TRANSFER,21542.77,CL000002_4,2553901.54,2532358.77,CL000002_1,2099453.21,2120995.98,0,0,L09_000002,LEGITIMATE_CIRCULAR_TRANSACTION,NONE,1,4,4,3,7,315227.68,0.008435,NORMAL,A->B->C->D->A
L09_000009,127,TRANSFER,137017.05,CL000003_1,1854655.4,1717638.35,CL000003_2,2241288.07,2378305.12,0,0,L09_000003,LEGITIMATE_CIRCULAR_TRANSACTION,NONE,1,1,4,0,6,285381.07,0.073877,NORMAL,A->B->C->D->A
L09_000010,128,TRANSFER,84952.77,CL000003_2,2378305.12,2293352.35,CL000003_3,1341074.32,1426027.09,0,0,L09_000003,LEGITIMATE_CIRCULAR_TRANSACTION,NONE,1,2,4,1,6,285381.07,0.03572,NORMAL,A->B->C->D->A
