record_id,step,type,amount,nameOrig,oldbalanceOrg,newbalanceOrig,nameDest,oldbalanceDest,newbalanceDest,isFraud,isFlaggedFraud,scenario_id,scenario_type,severity,is_legitimate_counterexample,dispersion_position,destinations_in_scenario,step_gap_from_previous,scenario_step_window,scenario_total_amount,sender_balance_usage_ratio,destination_balance_usage_ratio,dispersion_pattern,historical_pattern
L10_000001,558,TRANSFER,21520.42,LD000001_S,1779001.29,1757480.87,LD000001_D1,580932.82,602453.24,0,0,L10_000001,LEGITIMATE_FUND_DISPERSION,NONE,1,1,5,0,9,266850.2,0.012097,0.037045,ONE_TO_MANY,NORMAL
L10_000002,559,TRANSFER,57489.79,LD000001_S,1757480.87,1699991.08,LD000001_D2,959216.35,1016706.14,0,0,L10_000001,LEGITIMATE_FUND_DISPERSION,NONE,1,2,5,1,9,266850.2,0.032711,0.059934,ONE_TO_MANY,NORMAL
L10_000003,562,TRANSFER,68130.46,LD000001_S,1699991.08,1631860.62,LD000001_D3,525893.61,594024.07,0,0,L10_000001,LEGITIMATE_FUND_DISPERSION,NONE,1,3,5,3,9,266850.2,0.040077,0.129552,ONE_TO_MANY,NORMAL
L10_000004,565,TRANSFER,52694.45,LD000001_S,1631860.62,1579166.17,LD000001_D4,563291.72,615986.17,0,0,L10_000001,LEGITIMATE_FUND_DISPERSION,NONE,1,4,5,3,9,266850.2,0.032291,0.093547,ONE_TO_MANY,NORMAL
L10_000005,567,TRANSFER,67015.08,LD000001_S,1579166.17,1512151.09,LD000001_D5,760617.85,827632.93,0,0,L10_000001,LEGITIMATE_FUND_DISPERSION,NONE,1,5,5,2,9,266850.2,0.042437,0.088106,ONE_TO_MANY,NORMAL
L10_000006,879,TRANSFER,56468.69,LD000002_S,1682592.68,1626123.99,LD000002_D1,824868.69,881337.38,0,0,L10_000002,LEGITIMATE_FUND_DISPERSION,NONE,1,1,5,0,4,252388.91,0.033561,0.068458,ONE_TO_MANY,NORMAL
L10_000007,880,TRANSFER,49119.86,LD000002_S,1626123.99,1577004.13,LD000002_D2,649403.26,698523.12,0,0,L10_000002,LEGITIMATE_FUND_DISPERSION,NONE,1,2,5,1,4,252388.91,0.030207,0.075638,ONE_TO_MANY,NORMAL
L10_000008,881,TRANSFER,44754.86,LD000002_S,1577004.13,1532249.27,LD000002_D3,501889.45,546644.31,0,0,L10_000002,LEGITIMATE_FUND_DISPERSION,NONE,1,3,5,1,4,252388.91,0.02838,0.089173,ONE_TO_MANY,NORMAL
L10_000009,882,TRANSFER,35902.4,LD000002_S,1532249.27,1496346.87,LD000002_D4,1045753.47,1081655.87,0,0,L10_000002,LEGITIMATE_FUND_DISPERSION,NONE,1,4,5,1,4,252388.91,0.023431,0.034332,ONE_TO_MANY,NORMAL
L10_000010,883,TRANSFER,66143.1,LD000002_S,1496346.87,1430203.77,LD000002_D5,920694.75,986837.85,0,0,L10_000002,LEGITIMATE_FUND_DISPERSION,NONE,1,5,5,1,4,252388.91,0.044203,0.07184,ONE_TO_MANY,NORMAL
L10_000011,61,TRANSFER,40487.56,LD000003_S,1623587.66,1583100.1,LD000003_D1,712132.71,752620.27,0,0,L10_000003,LEGITIMATE_FUND_DISPERSION,NONE,1,1,5,0,10,243538.16,0.024937,0.056854,ONE_TO_MANY,NORMAL
L10_000012,64,TRANSFER,57552.46,LD000003_S,1583100.1,1525547.64,LD000003_D2,830149.05,887701.51,0,0,L10_000003,LEGITIMATE_FUND_DISPERSION,NONE,1,2,5,3,10,243538.16,0.036354,0.069328,ONE_TO_MANY,NORMAL
L10_000013,67,TRANSFER,23054.83,LD000003_S,1525547.64,1502492.81,LD000003_D3,1193116.09,1216170.92,0,0,L10_000003,LEGITIMATE_FUND_DISPERSION,NONE,1,3,5,3,10,243538.16,0.015112,0.019323,ONE_TO_MANY,NORMAL
