record_id,step,type,amount,nameOrig,oldbalanceOrg,newbalanceOrig,nameDest,oldbalanceDest,newbalanceDest,isFraud,isFlaggedFraud,scenario_id,scenario_type,fraud_reason,severity
S01_000001,298,TRANSFER,181684.86,C132461955,129795602.22,129613917.36,C_SYN_459525748,0.0,181684.86,1,0,S01_00001,RAPID_REPEATED_TRANSFER,Multiple high-value transfers from the same account within a short time window,HIGH
S01_000002,299,TRANSFER,53817.66,C132461955,129613917.36,129560099.7,C_SYN_748061058,0.0,53817.66,1,0,S01_00001,RAPID_REPEATED_TRANSFER,Multiple high-value transfers from the same account within a short time window,HIGH
S01_000003,299,TRANSFER,135946.28,C132461955,129560099.7,129424153.42,C_SYN_454088427,0.0,135946.28,1,0,S01_00001,RAPID_REPEATED_TRANSFER,Multiple high-value transfers from the same account within a short time window,HIGH
S01_000004,301,TRANSFER,43964.08,C132461955,129424153.42,129380189.34,C_SYN_887716372,0.0,43964.08,1,0,S01_00001,RAPID_REPEATED_TRANSFER,Multiple high-value transfers from the same account within a short time window,HIGH
S01_000005,301,TRANSFER,712691.86,C132461955,129380189.34,128667497.48,C_SYN_206328085,0.0,712691.86,1,0,S01_00001,RAPID_REPEATED_TRANSFER,Multiple high-value transfers from the same account within a short time window,HIGH
S01_000006,301,TRANSFER,382354.68,C132461955,128667497.48,128285142.8,C_SYN_277077808,0.0,382354.68,1,0,S01_00001,RAPID_REPEATED_TRANSFER,Multiple high-value transfers from the same account within a short time window,HIGH
S01_000007,377,TRANSFER,68083.56,C2044296870,8042616.0,7974532.44,C_SYN_668919915,0.0,68083.56,1,0,S01_00002,RAPID_REPEATED_TRANSFER,Multiple high-value transfers from the same account within a short time window,HIGH
S01_000008,379,TRANSFER,43964.08,C2044296870,7974532.44,7930568.36,C_SYN_299502978,0.0,43964.08,1,0,S01_00002,RAPID_REPEATED_TRANSFER,Multiple high-value transfers from the same account within a short time window,HIGH
S01_000009,379,TRANSFER,1037944.27,C2044296870,7930568.36,6892624.09,C_SYN_832395540,0.0,1037944.27,1,0,S01_00002,RAPID_REPEATED_TRANSFER,Multiple high-value transfers from the same account within a short time window,HIGH
S01_000010,381,TRANSFER,99687.79,C2044296870,6892624.09,6792936.3,C_SYN_925500248,0.0,99687.79,1,0,S01_00002,RAPID_REPEATED_TRANSFER,Multiple high-value transfers from the same account within a short time window,HIGH
S01_000011,381,TRANSFER,1358587.26,C2044296870,6792936.3,5434349.04,C_SYN_681609465,0.0,1358587.26,1,0,S01_00002,RAPID_REPEATED_TRANSFER,Multiple high-value transfers from the same account within a short time window,HIGH
S01_000012,185,TRANSFER,970073.48,C1831794639,6019784.88,5049711.4,C_SYN_247697582,0.0,970073.48,1,0,S01_00003,RAPID_REPEATED_TRANSFER,Multiple high-value transfers from the same account within a short time window,HIGH
S01_000013,187,TRANSFER,576925.28,C1831794639,5049711.4,4472786.12,C_SYN_137709731,0.0,576925.28,1,0,S01_00003,RAPID_REPEATED_TRANSFER,Multiple high-value transfers from the same account within a short time window,HIGH
S01_000014,187,TRANSFER,585445.11,C1831794639,4472786.12,3887341.01,C_SYN_365047041,0.0,585445.11,1,0,S01_00003,RAPID_REPEATED_TRANSFER,Multiple high-value transfers from the same account within a short time window,HIGH
S01_000015,188,TRANSFER,301351.09,C1831794639,3887341.01,3585989.92,C_SYN_300619113,0.0,301351.09,1,0,S01_00003,RAPID_REPEATED_TRANSFER,Multiple high-value transfers from the same account within a short time window,HIGH
S01_000016,255,TRANSFER,605603.4,C1924463611,7795027.74,7189424.34,C_SYN_858744035,0.0,605603.4,1,0,S01_00004,RAPID_REPEATED_TRANSFER,Multiple high-value transfers from the same account within a short time window,HIGH
S01_000017,255,TRANSFER,245862.32,C1924463611,7189424.34,6943562.01,C_SYN_941739990,0.0,245862.32,1,0,S01_00004,RAPID_REPEATED_TRANSFER,Multiple high-value transfers from the same account within a short time window,HIGH
S01_000018,257,TRANSFER,329027.84,C1924463611,6943562.01,6614534.18,C_SYN_506019796,0.0,329027.84,1,0,S01_00004,RAPID_REPEATED_TRANSFER,Multiple high-value transfers from the same account within a short time window,HIGH
S01_000019,258,TRANSFER,94147.18,C1924463611,6614534.18,6520386.99,C_SYN_472593431,0.0,94147.18,1,0,S01_00004,RAPID_REPEATED_TRANSFER,Multiple high-value transfers from the same account within a short time window,HIGH
S01_000020,205,TRANSFER,356164.19,C1630972631,5868783.72,5512619.53,C_SYN_809816108,0.0,356164.19,1,0,S01_00005,RAPID_REPEATED_TRANSFER,Multiple high-value transfers from the same account within a short time window,HIGH
S01_000021,205,TRANSFER,76218.0,C1630972631,5512619.53,5436401.53,C_SYN_844753672,0.0,76218.0,1,0,S01_00005,RAPID_REPEATED_TRANSFER,Multiple high-value transfers from the same account within a short time window,HIGH
S01_000022,205,TRANSFER,755438.49,C1630972631,5436401.53,4680963.04,C_SYN_160472382,0.0,755438.49,1,0,S01_00005,RAPID_REPEATED_TRANSFER,Multiple high-value transfers from the same account within a short time window,HIGH
S01_000023,304,TRANSFER,834480.95,C274997431,57037217.1,56202736.15,C_SYN_748870905,0.0,834480.95,1,0,S01_00006,RAPID_REPEATED_TRANSFER,Multiple high-value transfers from the same account within a short time window,HIGH
S01_000024,304,TRANSFER,1213220.06,C274997431,56202736.15,54989516.1,C_SYN_529662408,0.0,1213220.06,1,0,S01_00006,RAPID_REPEATED_TRANSFER,Multiple high-value transfers from the same account within a short time window,HIGH
S01_000025,306,TRANSFER,948944.28,C274997431,54989516.1,54040571.81,C_SYN_372981039,0.0,948944.28,1,0,S01_00006,RAPID_REPEATED_TRANSFER,Multiple high-value transfers from the same account within a short time window,HIGH
S01_000026,306,TRANSFER,1867442.03,C274997431,54040571.81,52173129.78,C_SYN_812631076,0.0,1867442.03,1,0,S01_00006,RAPID_REPEATED_TRANSFER,Multiple high-value transfers from the same account within a short time window,HIGH
S01_000027,306,TRANSFER,1207611.56,C274997431,52173129.78,50965518.22,C_SYN_689324250,0.0,1207611.56,1,0,S01_00006,RAPID_REPEATED_TRANSFER,Multiple high-value transfers from the same account within a short time window,HIGH
S01_000028,565,TRANSFER,214552.23,C23480143,1072761.17,858208.93,C_SYN_190053374,0.0,214552.23,1,0,S01_00007,RAPID_REPEATED_TRANSFER,Multiple high-value transfers from the same account within a short time window,HIGH
S01_000029,567,TRANSFER,171641.79,C23480143,858208.93,686567.15,C_SYN_197636744,0.0,171641.79,1,0,S01_00007,RAPID_REPEATED_TRANSFER,Multiple high-value transfers from the same account within a short time window,HIGH
