record_id,step,type,amount,nameOrig,oldbalanceOrg,newbalanceOrig,nameDest,oldbalanceDest,newbalanceDest,isFraud,isFlaggedFraud,scenario_id,scenario_type,fraud_reason,severity
S02_000001,355,CASH_OUT,1005369.17,C96252189,1686486.8,681117.63,C_SYN_941095289,0.0,1005369.17,1,0,S02_00001,UNUSUAL_HIGH_VALUE,Transaction amount is significantly higher than normal transaction behavior,HIGH
S02_000002,409,CASH_OUT,1105815.93,C2069732673,1953377.46,847561.53,C_SYN_188409749,0.0,1105815.93,1,0,S02_00002,UNUSUAL_HIGH_VALUE,Transaction amount is significantly higher than normal transaction behavior,HIGH
S02_000003,363,TRANSFER,1187981.88,C1833746975,2368561.74,1180579.86,C_SYN_604579232,0.0,1187981.88,1,0,S02_00003,UNUSUAL_HIGH_VALUE,Transaction amount is significantly higher than normal transaction behavior,HIGH
S02_000004,351,CASH_OUT,1184425.13,C980975829,1553486.18,369061.05,C_SYN_281009883,0.0,1184425.13,1,0,S02_00004,UNUSUAL_HIGH_VALUE,Transaction amount is significantly higher than normal transaction behavior,HIGH
S02_000005,268,TRANSFER,1056319.33,C1370619918,1780992.29,724672.96,C_SYN_832395540,0.0,1056319.33,1,0,S02_00005,UNUSUAL_HIGH_VALUE,Transaction amount is significantly higher than normal transaction behavior,HIGH
S02_000006,281,CASH_OUT,1119561.5,C1879482804,1688671.78,569110.28,C_SYN_168574553,0.0,1119561.5,1,0,S02_00006,UNUSUAL_HIGH_VALUE,Transaction amount is significantly higher than normal transaction behavior,HIGH
S02_000007,708,TRANSFER,1028790.07,C1695066063,1642094.55,613304.48,C_SYN_247697582,0.0,1028790.07,1,0,S02_00007,UNUSUAL_HIGH_VALUE,Transaction amount is significantly higher than normal transaction behavior,HIGH
S02_000008,383,CASH_OUT,982158.3,C790846216,1512646.26,530487.96,C_SYN_993102645,0.0,982158.3,1,0,S02_00008,UNUSUAL_HIGH_VALUE,Transaction amount is significantly higher than normal transaction behavior,HIGH
S02_000009,28,TRANSFER,1101496.32,C1077469168,1670000.81,568504.49,C_SYN_858744035,0.0,1101496.32,1,0,S02_00009,UNUSUAL_HIGH_VALUE,Transaction amount is significantly higher than normal transaction behavior,HIGH
S02_000010,161,TRANSFER,957386.86,C858415744,1446555.86,489169.0,C_SYN_191693393,0.0,957386.86,1,0,S02_00010,UNUSUAL_HIGH_VALUE,Transaction amount is significantly higher than normal transaction behavior,HIGH
S02_000011,402,CASH_OUT,1000003.16,C1755678131,1312743.53,312740.37,C_SYN_324184334,0.0,1000003.16,1,0,S02_00011,UNUSUAL_HIGH_VALUE,Transaction amount is significantly higher than normal transaction behavior,HIGH
S02_000012,14,TRANSFER,1838437.71,C419602541,2214246.91,375809.2,C_SYN_381154698,0.0,1838437.71,1,0,S02_00012,UNUSUAL_HIGH_VALUE,Transaction amount is significantly higher than normal transaction behavior,HIGH
S02_000013,244,CASH_OUT,1092074.88,C704984660,2119761.79,1027686.91,C_SYN_748870905,0.0,1092074.88,1,0,S02_00013,UNUSUAL_HIGH_VALUE,Transaction amount is significantly higher than normal transaction behavior,HIGH
S02_000014,381,TRANSFER,1061903.13,C949265301,1328278.0,266374.87,C_SYN_361917078,0.0,1061903.13,1,0,S02_00014,UNUSUAL_HIGH_VALUE,Transaction amount is significantly higher than normal transaction behavior,HIGH
S02_000015,17,PAYMENT,1581969.35,C1535781828,2495986.85,914017.5,C_SYN_613653348,0.0,1581969.35,1,0,S02_00015,UNUSUAL_HIGH_VALUE,Transaction amount is significantly higher than normal transaction behavior,HIGH
S02_000016,141,TRANSFER,1188363.27,C226555325,1464475.76,276112.49,C_SYN_862532878,0.0,1188363.27,1,0,S02_00016,UNUSUAL_HIGH_VALUE,Transaction amount is significantly higher than normal transaction behavior,HIGH
S02_000017,138,CASH_OUT,1035157.5,C89310059,1818163.95,783006.45,C_SYN_698424036,0.0,1035157.5,1,0,S02_00017,UNUSUAL_HIGH_VALUE,Transaction amount is significantly higher than normal transaction behavior,HIGH
S02_000018,4,TRANSFER,1085814.72,C521342639,1369846.4,284031.68,C_SYN_270731194,0.0,1085814.72,1,0,S02_00018,UNUSUAL_HIGH_VALUE,Transaction amount is significantly higher than normal transaction behavior,HIGH
S02_000019,499,TRANSFER,1062094.05,C1324720254,1364148.72,302054.67,C_SYN_987059227,0.0,1062094.05,1,0,S02_00019,UNUSUAL_HIGH_VALUE,Transaction amount is significantly higher than normal transaction behavior,HIGH
S02_000020,193,TRANSFER,1007851.86,C1087885521,1496698.58,488846.72,C_SYN_773573053,0.0,1007851.86,1,0,S02_00020,UNUSUAL_HIGH_VALUE,Transaction amount is significantly higher than normal transaction behavior,HIGH
S02_000021,49,PAYMENT,1026431.56,C805655632,1938502.7,912071.14,C_SYN_129859174,0.0,1026431.56,1,0,S02_00021,UNUSUAL_HIGH_VALUE,Transaction amount is significantly higher than normal transaction behavior,HIGH
S02_000022,435,CASH_OUT,1036867.84,C446016839,1467717.4,430849.56,C_SYN_928540878,0.0,1036867.84,1,0,S02_00022,UNUSUAL_HIGH_VALUE,Transaction amount is significantly higher than normal transaction behavior,HIGH
S02_000023,191,TRANSFER,1076316.81,C921082066,2128336.49,1052019.68,C_SYN_107654909,0.0,1076316.81,1,0,S02_00023,UNUSUAL_HIGH_VALUE,Transaction amount is significantly higher than normal transaction behavior,HIGH
S02_000024,319,PAYMENT,975984.07,C1378818853,1379480.1,403496.03,C_SYN_111506305,0.0,975984.07,1,0,S02_00024,UNUSUAL_HIGH_VALUE,Transaction amount is significantly higher than normal transaction behavior,HIGH
S02_000025,188,TRANSFER,1113425.83,C1512643354,1465174.75,351748.92,C_SYN_949472217,0.0,1113425.83,1,0,S02_00025,UNUSUAL_HIGH_VALUE,Transaction amount is significantly higher than normal transaction behavior,HIGH
S02_000026,411,TRANSFER,963828.11,C1555298060,1343314.18,379486.07,C_SYN_328233509,0.0,963828.11,1,0,S02_00026,UNUSUAL_HIGH_VALUE,Transaction amount is significantly higher than normal transaction behavior,HIGH
S02_000027,212,CASH_OUT,1063753.02,C1710948262,1353340.44,289587.42,C_SYN_466371424,0.0,1063753.02,1,0,S02_00027,UNUSUAL_HIGH_VALUE,Transaction amount is significantly higher than normal transaction behavior,HIGH
S02_000028,39,PAYMENT,1075013.92,C1435575602,1570344.99,495331.07,C_SYN_171244178,0.0,1075013.92,1,0,S02_00028,UNUSUAL_HIGH_VALUE,Transaction amount is significantly higher than normal transaction behavior,HIGH
S02_000029,308,TRANSFER,1119237.69,C703415584,1961744.07,842506.38,C_SYN_687273855,0.0,1119237.69,1,0,S02_00029,UNUSUAL_HIGH_VALUE,Transaction amount is significantly higher than normal transaction behavior,HIGH
S02_000030,404,CASH_OUT,1690164.11,C183848805,2310889.21,620725.1,C_SYN_278017694,0.0,1690164.11,1,0,S02_00030,UNUSUAL_HIGH_VALUE,Transaction amount is significantly higher than normal transaction behavior,HIGH
S02_000031,14,CASH_OUT,1096964.96,C1563397653,1781164.45,684199.49,C_SYN_499873327,0.0,1096964.96,1,0,S02_00031,UNUSUAL_HIGH_VALUE,Transaction amount is significantly higher than normal transaction behavior,HIGH
S02_000032,267,TRANSFER,983328.28,C1595111133,1730939.26,747610.98,C_SYN_515156431,0.0,983328.28,1,0,S02_00032,UNUSUAL_HIGH_VALUE,Transaction amount is significantly higher than normal transaction behavior,HIGH
S02_000033,238,CASH_OUT,1090212.62,C1949597454,1381639.51,291426.89,C_SYN_794190023,0.0,1090212.62,1,0,S02_00033,UNUSUAL_HIGH_VALUE,Transaction amount is significantly higher than normal transaction behavior,HIGH
S02_000034,301,TRANSFER,1054198.89,C1058408443,2057908.77,1003709.88,C_SYN_121739356,0.0,1054198.89,1,0,S02_00034,UNUSUAL_HIGH_VALUE,Transaction amount is significantly higher than normal transaction behavior,HIGH
S02_000035,18,TRANSFER,1037009.54,C1103707238,2069420.95,1032411.41,C_SYN_855593187,0.0,1037009.54,1,0,S02_00035,UNUSUAL_HIGH_VALUE,Transaction amount is significantly higher than normal transaction behavior,HIGH
S02_000036,158,CASH_OUT,1008042.55,C638072409,1733537.14,725494.59,C_SYN_526161286,0.0,1008042.55,1,0,S02_00036,UNUSUAL_HIGH_VALUE,Transaction amount is significantly higher than normal transaction behavior,HIGH
S02_000037,194,CASH_OUT,1047301.96,C1028402345,1789908.27,742606.31,C_SYN_101983509,0.0,1047301.96,1,0,S02_00037,UNUSUAL_HIGH_VALUE,Transaction amount is significantly higher than normal transaction behavior,HIGH
S02_000038,254,CASH_OUT,1110493.34,C1464438814,2038698.14,928204.8,C_SYN_111326237,0.0,1110493.34,1,0,S02_00038,UNUSUAL_HIGH_VALUE,Transaction amount is significantly higher than normal transaction behavior,HIGH
S02_000039,304,CASH_OUT,984509.97,C2031406064,1402550.52,418040.55,C_SYN_204436258,0.0,984509.97,1,0,S02_00039,UNUSUAL_HIGH_VALUE,Transaction amount is significantly higher than normal transaction behavior,HIGH
