record_id,step,type,amount,nameOrig,oldbalanceOrg,newbalanceOrig,nameDest,oldbalanceDest,newbalanceDest,isFraud,isFlaggedFraud,scenario_id,scenario_type,fraud_reason,severity,drain_ratio
S03_000001,357,TRANSFER,47168.89,C2112793745,50000.0,2831.11,C_SYN_227521863,0.0,47168.89,1,0,S03_00001,ACCOUNT_DRAINING,Transaction drains an unusually large proportion of the account balance,CRITICAL,0.9433777999999999
S03_000002,23,TRANSFER,44012.49,C1385193376,50000.0,5987.51,C_SYN_998717130,0.0,44012.49,1,0,S03_00002,ACCOUNT_DRAINING,Transaction drains an unusually large proportion of the account balance,CRITICAL,0.8802498
S03_000003,145,CASH_OUT,59097.53,C1126447971,65071.0,5973.47,C_SYN_188409749,0.0,59097.53,1,0,S03_00003,ACCOUNT_DRAINING,Transaction drains an unusually large proportion of the account balance,CRITICAL,0.9082007345822255
S03_000004,261,CASH_OUT,126914.4,C825103020,136473.0,9558.6,C_SYN_103344769,0.0,126914.4,1,0,S03_00004,ACCOUNT_DRAINING,Transaction drains an unusually large proportion of the account balance,CRITICAL,0.9299597722626454
S03_000005,170,TRANSFER,42738.18,C287246238,50000.0,7261.82,C_SYN_881447915,0.0,42738.18,1,0,S03_00005,ACCOUNT_DRAINING,Transaction drains an unusually large proportion of the account balance,CRITICAL,0.8547636
S03_000006,232,TRANSFER,5536845.1,C1065608584,6190157.83,653312.73,C_SYN_300427519,0.0,5536845.1,1,0,S03_00006,ACCOUNT_DRAINING,Transaction drains an unusually large proportion of the account balance,CRITICAL,0.8944594390091665
S03_000007,258,CASH_OUT,44628.11,C720784100,50000.0,5371.89,C_SYN_299502978,0.0,44628.11,1,0,S03_00007,ACCOUNT_DRAINING,Transaction drains an unusually large proportion of the account balance,CRITICAL,0.8925622
S03_000008,49,TRANSFER,10543997.99,C2069278154,11430361.28,886363.29,C_SYN_156972561,0.0,10543997.99,1,0,S03_00008,ACCOUNT_DRAINING,Transaction drains an unusually large proportion of the account balance,CRITICAL,0.9224553565467006
S03_000009,187,CASH_OUT,100621.25,C1999098910,103327.0,2705.75,C_SYN_334564360,0.0,100621.25,1,0,S03_00009,ACCOUNT_DRAINING,Transaction drains an unusually large proportion of the account balance,CRITICAL,0.9738137176149506
S03_000010,718,TRANSFER,46158.1,C465463661,50000.0,3841.9,C_SYN_624150214,0.0,46158.1,1,0,S03_00010,ACCOUNT_DRAINING,Transaction drains an unusually large proportion of the account balance,CRITICAL,0.9231619999999999
