record_id,step,type,amount,nameOrig,oldbalanceOrg,newbalanceOrig,nameDest,oldbalanceDest,newbalanceDest,isFraud,isFlaggedFraud,scenario_id,scenario_type,fraud_reason,severity,is_new_beneficiary,historical_max_amount,amount_vs_historical_max,balance_usage_ratio
S04_000001,44,TRANSFER,196626.53,C233187192,510609.64,313983.11,C_SYN_962061404,0.0,196626.53,1,0,S04_00001,NEW_BENEFICIARY_LARGE_TRANSFER,Large transfer sent to a previously unseen beneficiary,HIGH,1,36827.84,5.34,0.3850818993546616
S04_000002,264,TRANSFER,304136.18,C614677778,823622.85,519486.67,C_SYN_998717130,0.0,304136.18,1,0,S04_00002,NEW_BENEFICIARY_LARGE_TRANSFER,Large transfer sent to a previously unseen beneficiary,HIGH,1,63317.58,4.8,0.36926632135084647
S04_000003,260,TRANSFER,359520.16,C1261835234,1075760.38,716240.22,C_SYN_454088427,0.0,359520.16,1,0,S04_00003,NEW_BENEFICIARY_LARGE_TRANSFER,Large transfer sent to a previously unseen beneficiary,HIGH,1,119746.8,3.0,0.3342009676913366
S04_000004,348,TRANSFER,635338.43,C551442580,1604086.37,968747.94,C_SYN_206328085,0.0,635338.43,1,0,S04_00004,NEW_BENEFICIARY_LARGE_TRANSFER,Large transfer sent to a previously unseen beneficiary,HIGH,1,207005.43,3.07,0.39607495075218424
S04_000005,149,TRANSFER,55798.21,C1985858058,149556.36,93758.15,C_SYN_496917567,0.0,55798.21,1,0,S04_00005,NEW_BENEFICIARY_LARGE_TRANSFER,Large transfer sent to a previously unseen beneficiary,HIGH,1,10000.0,5.58,0.3730915221525852
S04_000006,235,TRANSFER,1330401.81,C1410111613,3173562.43,1843160.62,C_SYN_954206851,0.0,1330401.81,1,0,S04_00006,NEW_BENEFICIARY_LARGE_TRANSFER,Large transfer sent to a previously unseen beneficiary,HIGH,1,283675.95,4.69,0.41921400298402195
S04_000007,39,TRANSFER,1872447.67,C953482179,5305009.21,3432561.54,C_SYN_916698734,0.0,1872447.67,1,0,S04_00007,NEW_BENEFICIARY_LARGE_TRANSFER,Large transfer sent to a previously unseen beneficiary,HIGH,1,387671.13,4.83,0.35295842021733265
S04_000008,306,TRANSFER,6950078.18,C1760044892,16855022.93,9904944.75,C_SYN_137709731,0.0,6950078.18,1,0,S04_00008,NEW_BENEFICIARY_LARGE_TRANSFER,Large transfer sent to a previously unseen beneficiary,HIGH,1,1319781.05,5.27,0.41234462918645226
S04_000009,185,TRANSFER,2073871.17,C716146821,5080474.47,3006603.3,C_SYN_893943861,0.0,2073871.17,1,0,S04_00009,NEW_BENEFICIARY_LARGE_TRANSFER,Large transfer sent to a previously unseen beneficiary,HIGH,1,375235.36,5.53,0.40820423018482366
S04_000010,379,TRANSFER,141880.42,C1094433278,420132.33,278251.91,C_SYN_480072391,0.0,141880.42,1,0,S04_00010,NEW_BENEFICIARY_LARGE_TRANSFER,Large transfer sent to a previously unseen beneficiary,HIGH,1,31097.06,4.56,0.3377041228890907
