record_id,step,type,amount,nameOrig,oldbalanceOrg,newbalanceOrig,nameDest,oldbalanceDest,newbalanceDest,isFraud,isFlaggedFraud,scenario_id,scenario_type,fraud_reason,severity,transaction_count_in_scenario,combined_scenario_amount,individual_amount_percentile,scenario_total_ratio
S05_000001,241,TRANSFER,219271.42,C199015587,2391380.87,2172109.45,C_SYN_860672189,0.0,219271.42,1,0,S05_00001,MULTIPLE_SMALL_TRANSACTIONS,Multiple individually small transactions combine into an unusually large total amount,HIGH,7,1185137.35,85.71,0.4955870329430209
S05_000002,243,TRANSFER,155337.93,C199015587,2172109.45,2016771.52,C_SYN_102235000,0.0,155337.93,1,0,S05_00001,MULTIPLE_SMALL_TRANSACTIONS,Multiple individually small transactions combine into an unusually large total amount,HIGH,7,1185137.35,60.72,0.5456158528291473
S05_000003,244,TRANSFER,164979.55,C199015587,2016771.52,1851791.97,C_SYN_392121203,0.0,164979.55,1,0,S05_00001,MULTIPLE_SMALL_TRANSACTIONS,Multiple individually small transactions combine into an unusually large total amount,HIGH,7,1185137.35,64.48,0.5876408597836607
S05_000004,246,TRANSFER,158229.89,C199015587,1851791.97,1693562.08,C_SYN_540529868,0.0,158229.89,1,0,S05_00001,MULTIPLE_SMALL_TRANSACTIONS,Multiple individually small transactions combine into an unusually large total amount,HIGH,7,1185137.35,61.85,0.6399948640019214
S05_000005,247,TRANSFER,243051.63,C199015587,1693562.08,1450510.45,C_SYN_575584232,0.0,243051.63,1,0,S05_00001,MULTIPLE_SMALL_TRANSACTIONS,Multiple individually small transactions combine into an unusually large total amount,HIGH,7,1185137.35,95.0,0.6997897295858208
S05_000006,249,TRANSFER,61115.94,C199015587,1450510.45,1389394.51,C_SYN_335283714,0.0,61115.94,1,0,S05_00001,MULTIPLE_SMALL_TRANSACTIONS,Multiple individually small transactions combine into an unusually large total amount,HIGH,7,1185137.35,23.89,0.8170484742112682
S05_000007,249,TRANSFER,183150.99,C199015587,1389394.51,1206243.52,C_SYN_129859174,0.0,183150.99,1,0,S05_00001,MULTIPLE_SMALL_TRANSACTIONS,Multiple individually small transactions combine into an unusually large total amount,HIGH,7,1185137.35,71.59,0.8529883639744625
S05_000008,375,TRANSFER,154756.52,C820376103,1844237.9,1689481.38,C_SYN_357158785,0.0,154756.52,1,0,S05_00002,MULTIPLE_SMALL_TRANSACTIONS,Multiple individually small transactions combine into an unusually large total amount,HIGH,7,948806.49,60.49,0.5144707686573408
S05_000009,377,TRANSFER,169414.72,C820376103,1689481.38,1520066.66,C_SYN_477390675,0.0,169414.72,1,0,S05_00002,MULTIPLE_SMALL_TRANSACTIONS,Multiple individually small transactions combine into an unusually large total amount,HIGH,7,948806.49,66.22,0.561596298859476
S05_000010,379,TRANSFER,52382.21,C820376103,1520066.66,1467684.45,C_SYN_119931456,0.0,52382.21,1,0,S05_00002,MULTIPLE_SMALL_TRANSACTIONS,Multiple individually small transactions combine into an unusually large total amount,HIGH,7,948806.49,20.47,0.6241874221489734
S05_000011,383,TRANSFER,153172.22,C820376103,1467684.45,1314512.23,C_SYN_696247870,0.0,153172.22,1,0,S05_00002,MULTIPLE_SMALL_TRANSACTIONS,Multiple individually small transactions combine into an unusually large total amount,HIGH,7,948806.49,59.87,0.6464649059952907
S05_000012,384,TRANSFER,230412.92,C820376103,1314512.23,1084099.31,C_SYN_879548260,0.0,230412.92,1,0,S05_00002,MULTIPLE_SMALL_TRANSACTIONS,Multiple individually small transactions combine into an unusually large total amount,HIGH,7,948806.49,90.06,0.7217935811825805
S05_000013,385,TRANSFER,11494.58,C820376103,1084099.31,1072604.73,C_SYN_111643208,0.0,11494.58,1,0,S05_00002,MULTIPLE_SMALL_TRANSACTIONS,Multiple individually small transactions combine into an unusually large total amount,HIGH,7,948806.49,4.49,0.8752025587028553
S05_000014,388,TRANSFER,177173.32,C820376103,1072604.73,895431.41,C_SYN_143928336,0.0,177173.32,1,0,S05_00002,MULTIPLE_SMALL_TRANSACTIONS,Multiple individually small transactions combine into an unusually large total amount,HIGH,7,948806.49,69.25,0.8845816762340774
S05_000015,213,TRANSFER,112186.53,C1625492034,1632510.23,1520323.7,C_SYN_751438629,0.0,112186.53,1,0,S05_00003,MULTIPLE_SMALL_TRANSACTIONS,Multiple individually small transactions combine into an unusually large total amount,HIGH,7,921764.53,43.85,0.5646301708014412
S05_000016,215,TRANSFER,206903.07,C1625492034,1520323.7,1313420.63,C_SYN_110321336,0.0,206903.07,1,0,S05_00003,MULTIPLE_SMALL_TRANSACTIONS,Multiple individually small transactions combine into an unusually large total amount,HIGH,7,921764.53,80.87,0.6062949160103207
S05_000017,217,TRANSFER,1000.0,C1625492034,1313420.63,1312420.63,C_SYN_365094240,0.0,1000.0,1,0,S05_00003,MULTIPLE_SMALL_TRANSACTIONS,Multiple individually small transactions combine into an unusually large total amount,HIGH,7,921764.53,0.39,0.701804516349039
S05_000018,218,TRANSFER,79923.39,C1625492034,1312420.63,1232497.24,C_SYN_988974332,0.0,79923.39,1,0,S05_00003,MULTIPLE_SMALL_TRANSACTIONS,Multiple individually small transactions combine into an unusually large total amount,HIGH,7,921764.53,31.24,0.7023392568890052
S05_000019,219,TRANSFER,152310.08,C1625492034,1232497.24,1080187.16,C_SYN_222715546,0.0,152310.08,1,0,S05_00003,MULTIPLE_SMALL_TRANSACTIONS,Multiple individually small transactions combine into an unusually large total amount,HIGH,7,921764.53,59.53,0.7478836463763603
S05_000020,220,TRANSFER,243051.63,C1625492034,1080187.16,837135.53,C_SYN_714730016,0.0,243051.63,1,0,S05_00003,MULTIPLE_SMALL_TRANSACTIONS,Multiple individually small transactions combine into an unusually large total amount,HIGH,7,921764.53,95.0,0.8533377956464508
S05_000021,226,TRANSFER,126389.83,C1625492034,837135.53,710745.7,C_SYN_244020733,0.0,126389.83,1,0,S05_00003,MULTIPLE_SMALL_TRANSACTIONS,Multiple individually small transactions combine into an unusually large total amount,HIGH,7,921764.53,49.4,1.1010935469433485
S05_000022,405,TRANSFER,237420.31,C1752184861,1845130.08,1607709.77,C_SYN_527097505,0.0,237420.31,1,0,S05_00004,MULTIPLE_SMALL_TRANSACTIONS,Multiple individually small transactions combine into an unusually large total amount,HIGH,7,918204.18,92.8,0.49763655687625014
S05_000023,406,TRANSFER,140827.9,C1752184861,1607709.77,1466881.87,C_SYN_337575970,0.0,140827.9,1,0,S05_00004,MULTIPLE_SMALL_TRANSACTIONS,Multiple individually small transactions combine into an unusually large total amount,HIGH,7,918204.18,55.04,0.5711255831952804
S05_000024,409,TRANSFER,207200.26,C1752184861,1466881.87,1259681.61,C_SYN_543229471,0.0,207200.26,1,0,S05_00004,MULTIPLE_SMALL_TRANSACTIONS,Multiple individually small transactions combine into an unusually large total amount,HIGH,7,918204.18,80.99,0.6259564582388628
S05_000025,410,TRANSFER,3711.84,C1752184861,1259681.61,1255969.77,C_SYN_553962871,0.0,3711.84,1,0,S05_00004,MULTIPLE_SMALL_TRANSACTIONS,Multiple individually small transactions combine into an unusually large total amount,HIGH,7,918204.18,1.45,0.728917666742789
S05_000026,414,TRANSFER,14923.07,C1752184861,1255969.77,1241046.7,C_SYN_344169517,0.0,14923.07,1,0,S05_00004,MULTIPLE_SMALL_TRANSACTIONS,Multiple individually small transactions combine into an unusually large total amount,HIGH,7,918204.18,5.83,0.7310718792220613
S05_000027,414,TRANSFER,216846.45,C1752184861,1241046.7,1024200.25,C_SYN_444541674,0.0,216846.45,1,0,S05_00004,MULTIPLE_SMALL_TRANSACTIONS,Multiple individually small transactions combine into an unusually large total amount,HIGH,7,918204.18,84.76,0.7398627142717514
S05_000028,415,TRANSFER,97274.35,C1752184861,1024200.25,926925.9,C_SYN_732148419,0.0,97274.35,1,0,S05_00004,MULTIPLE_SMALL_TRANSACTIONS,Multiple individually small transactions combine into an unusually large total amount,HIGH,7,918204.18,38.02,0.8965084513502121
S05_000029,218,TRANSFER,172391.2,C2030881346,4255115.89,4082724.69,C_SYN_463657906,0.0,172391.2,1,0,S05_00005,MULTIPLE_SMALL_TRANSACTIONS,Multiple individually small transactions combine into an unusually large total amount,HIGH,7,1024276.18,67.38,0.24071640032347041
S05_000030,221,TRANSFER,4438.51,C2030881346,4082724.69,4078286.18,C_SYN_278554061,0.0,4438.51,1,0,S05_00005,MULTIPLE_SMALL_TRANSACTIONS,Multiple individually small transactions combine into an unusually large total amount,HIGH,7,1024276.18,1.73,0.25088054124952525
S05_000031,222,TRANSFER,148199.63,C2030881346,4078286.18,3930086.55,C_SYN_908346635,0.0,148199.63,1,0,S05_00005,MULTIPLE_SMALL_TRANSACTIONS,Multiple individually small transactions combine into an unusually large total amount,HIGH,7,1024276.18,57.93,0.25115358138010807
S05_000032,223,TRANSFER,171182.46,C2030881346,3930086.55,3758904.09,C_SYN_737129193,0.0,171182.46,1,0,S05_00005,MULTIPLE_SMALL_TRANSACTIONS,Multiple individually small transactions combine into an unusually large total amount,HIGH,7,1024276.18,66.91,0.2606243315430293
S05_000033,223,TRANSFER,225366.98,C2030881346,3758904.09,3533537.11,C_SYN_732987923,0.0,225366.98,1,0,S05_00005,MULTIPLE_SMALL_TRANSACTIONS,Multiple individually small transactions combine into an unusually large total amount,HIGH,7,1024276.18,88.09,0.2724933000352239
S05_000034,226,TRANSFER,154731.96,C2030881346,3533537.11,3378805.15,C_SYN_898725370,0.0,154731.96,1,0,S05_00005,MULTIPLE_SMALL_TRANSACTIONS,Multiple individually small transactions combine into an unusually large total amount,HIGH,7,1024276.18,60.48,0.2898727671774756
S05_000035,230,TRANSFER,147965.44,C2030881346,3378805.15,3230839.71,C_SYN_121217066,0.0,147965.44,1,0,S05_00005,MULTIPLE_SMALL_TRANSACTIONS,Multiple individually small transactions combine into an unusually large total amount,HIGH,7,1024276.18,57.83,0.3031474543597165
S05_000036,357,TRANSFER,155817.78,C1159135596,2198776.46,2042958.68,C_SYN_122636262,0.0,155817.78,1,0,S05_00006,MULTIPLE_SMALL_TRANSACTIONS,Multiple individually small transactions combine into an unusually large total amount,HIGH,7,1028642.35,60.9,0.467824887483105
S05_000037,362,TRANSFER,58822.18,C1159135596,2042958.68,1984136.5,C_SYN_592573471,0.0,58822.18,1,0,S05_00006,MULTIPLE_SMALL_TRANSACTIONS,Multiple individually small transactions combine into an unusually large total amount,HIGH,7,1028642.35,22.99,0.5035061942613543
S05_000038,363,TRANSFER,53225.96,C1159135596,1984136.5,1930910.54,C_SYN_648525216,0.0,53225.96,1,0,S05_00006,MULTIPLE_SMALL_TRANSACTIONS,Multiple individually small transactions combine into an unusually large total amount,HIGH,7,1028642.35,20.8,0.5184332579940947
S05_000039,364,TRANSFER,243051.63,C1159135596,1930910.54,1687858.91,C_SYN_565945588,0.0,243051.63,1,0,S05_00006,MULTIPLE_SMALL_TRANSACTIONS,Multiple individually small transactions combine into an unusually large total amount,HIGH,7,1028642.35,95.0,0.5327239810913249
S05_000040,364,TRANSFER,148301.97,C1159135596,1687858.91,1539556.94,C_SYN_426707983,0.0,148301.97,1,0,S05_00006,MULTIPLE_SMALL_TRANSACTIONS,Multiple individually small transactions combine into an unusually large total amount,HIGH,7,1028642.35,57.97,0.6094362176279295
S05_000041,366,TRANSFER,157444.47,C1159135596,1539556.94,1382112.47,C_SYN_129370827,0.0,157444.47,1,0,S05_00006,MULTIPLE_SMALL_TRANSACTIONS,Multiple individually small transactions combine into an unusually large total amount,HIGH,7,1028642.35,61.54,0.6681418031865713
S05_000042,368,TRANSFER,211978.36,C1159135596,1382112.47,1170134.11,C_SYN_237559589,0.0,211978.36,1,0,S05_00006,MULTIPLE_SMALL_TRANSACTIONS,Multiple individually small transactions combine into an unusually large total amount,HIGH,7,1028642.35,82.85,0.7442537219854474
S05_000043,96,TRANSFER,126412.83,C309249393,1873344.61,1746931.78,C_SYN_664576770,0.0,126412.83,1,0,S05_00007,MULTIPLE_SMALL_TRANSACTIONS,Multiple individually small transactions combine into an unusually large total amount,HIGH,7,935427.98,49.41,0.49933577357131315
S05_000044,97,TRANSFER,185139.21,C309249393,1746931.78,1561792.57,C_SYN_219838595,0.0,185139.21,1,0,S05_00007,MULTIPLE_SMALL_TRANSACTIONS,Multiple individually small transactions combine into an unusually large total amount,HIGH,7,935427.98,72.36,0.5354690954216884
S05_000045,99,TRANSFER,37332.42,C309249393,1561792.57,1524460.15,C_SYN_525966695,0.0,37332.42,1,0,S05_00007,MULTIPLE_SMALL_TRANSACTIONS,Multiple individually small transactions combine into an unusually large total amount,HIGH,7,935427.98,14.59,0.5989450827007071
S05_000046,102,TRANSFER,132521.78,C309249393,1524460.15,1391938.37,C_SYN_933025506,0.0,132521.78,1,0,S05_00007,MULTIPLE_SMALL_TRANSACTIONS,Multiple individually small transactions combine into an unusually large total amount,HIGH,7,935427.98,51.8,0.6136126155872293
S05_000047,108,TRANSFER,224251.3,C309249393,1391938.37,1167687.07,C_SYN_750663135,0.0,224251.3,1,0,S05_00007,MULTIPLE_SMALL_TRANSACTIONS,Multiple individually small transactions combine into an unusually large total amount,HIGH,7,935427.98,87.65,0.6720326130531196
S05_000048,108,TRANSFER,192592.7,C309249393,1167687.07,975094.37,C_SYN_657557567,0.0,192592.7,1,0,S05_00007,MULTIPLE_SMALL_TRANSACTIONS,Multiple individually small transactions combine into an unusually large total amount,HIGH,7,935427.98,75.28,0.8010947487840213
S05_000049,109,TRANSFER,37177.74,C309249393,975094.37,937916.63,C_SYN_315053161,0.0,37177.74,1,0,S05_00007,MULTIPLE_SMALL_TRANSACTIONS,Multiple individually small transactions combine into an unusually large total amount,HIGH,7,935427.98,14.53,0.9593204604391266
S05_000050,17,TRANSFER,2425.56,C100317022,1739373.78,1736948.22,C_SYN_984844899,0.0,2425.56,1,0,S05_00008,MULTIPLE_SMALL_TRANSACTIONS,Multiple individually small transactions combine into an unusually large total amount,HIGH,7,942109.85,0.95,0.5416373759526258
S05_000051,19,TRANSFER,235642.6,C100317022,1736948.22,1501305.62,C_SYN_673292101,0.0,235642.6,1,0,S05_00008,MULTIPLE_SMALL_TRANSACTIONS,Multiple individually small transactions combine into an unusually large total amount,HIGH,7,942109.85,92.1,0.5423937450478518
S05_000052,21,TRANSFER,243051.63,C100317022,1501305.62,1258253.99,C_SYN_663373657,0.0,243051.63,1,0,S05_00008,MULTIPLE_SMALL_TRANSACTIONS,Multiple individually small transactions combine into an unusually large total amount,HIGH,7,942109.85,95.0,0.6275270254433604
S05_000053,22,TRANSFER,90085.67,C100317022,1258253.99,1168168.32,C_SYN_446180867,0.0,90085.67,1,0,S05_00008,MULTIPLE_SMALL_TRANSACTIONS,Multiple individually small transactions combine into an unusually large total amount,HIGH,7,942109.85,35.21,0.7487437810548886
S05_000054,23,TRANSFER,216744.21,C100317022,1168168.32,951424.11,C_SYN_314069885,0.0,216744.21,1,0,S05_00008,MULTIPLE_SMALL_TRANSACTIONS,Multiple individually small transactions combine into an unusually large total amount,HIGH,7,942109.85,84.72,0.8064846767972614
S05_000055,23,TRANSFER,99476.17,C100317022,951424.11,851947.94,C_SYN_761052710,0.0,99476.17,1,0,S05_00008,MULTIPLE_SMALL_TRANSACTIONS,Multiple individually small transactions combine into an unusually large total amount,HIGH,7,942109.85,38.88,0.9902101913309722
S05_000056,26,TRANSFER,54684.01,C100317022,851947.94,797263.93,C_SYN_784575650,0.0,54684.01,1,0,S05_00008,MULTIPLE_SMALL_TRANSACTIONS,Multiple individually small transactions combine into an unusually large total amount,HIGH,7,942109.85,21.37,1.1058303046075797
S05_000057,693,TRANSFER,24964.32,C454704684,1643488.44,1618524.12,C_SYN_363253791,0.0,24964.32,1,0,S05_00009,MULTIPLE_SMALL_TRANSACTIONS,Multiple individually small transactions combine into an unusually large total amount,HIGH,7,918539.88,9.76,0.5588964653745907
S05_000058,695,TRANSFER,45677.11,C454704684,1618524.12,1572847.01,C_SYN_424721179,0.0,45677.11,1,0,S05_00009,MULTIPLE_SMALL_TRANSACTIONS,Multiple individually small transactions combine into an unusually large total amount,HIGH,7,918539.88,17.85,0.5675169548909781
S05_000059,695,TRANSFER,243051.63,C454704684,1572847.01,1329795.38,C_SYN_215654933,0.0,243051.63,1,0,S05_00009,MULTIPLE_SMALL_TRANSACTIONS,Multiple individually small transactions combine into an unusually large total amount,HIGH,7,918539.88,95.0,0.5839982364209727
S05_000060,698,TRANSFER,233388.16,C454704684,1329795.38,1096407.22,C_SYN_596845032,0.0,233388.16,1,0,S05_00009,MULTIPLE_SMALL_TRANSACTIONS,Multiple individually small transactions combine into an unusually large total amount,HIGH,7,918539.88,91.22,0.6907377584662687
S05_000061,698,TRANSFER,11404.23,C454704684,1096407.22,1085002.99,C_SYN_980387600,0.0,11404.23,1,0,S05_00009,MULTIPLE_SMALL_TRANSACTIONS,Multiple individually small transactions combine into an unusually large total amount,HIGH,7,918539.88,4.46,0.8377725568060378
S05_000062,701,TRANSFER,178002.71,C454704684,1085002.99,907000.28,C_SYN_941096683,0.0,178002.71,1,0,S05_00009,MULTIPLE_SMALL_TRANSACTIONS,Multiple individually small transactions combine into an unusually large total amount,HIGH,7,918539.88,69.57,0.8465782015955551
S05_000063,703,TRANSFER,182051.72,C454704684,907000.28,724948.56,C_SYN_614256070,0.0,182051.72,1,0,S05_00009,MULTIPLE_SMALL_TRANSACTIONS,Multiple individually small transactions combine into an unusually large total amount,HIGH,7,918539.88,71.16,1.0127228185640693
S05_000064,286,TRANSFER,224383.49,C1595762401,2201850.43,1977466.94,C_SYN_895844982,0.0,224383.49,1,0,S05_00010,MULTIPLE_SMALL_TRANSACTIONS,Multiple individually small transactions combine into an unusually large total amount,HIGH,7,1128608.27,87.7,0.5125726319203253
S05_000065,292,TRANSFER,146441.55,C1595762401,1977466.94,1831025.39,C_SYN_408146626,0.0,146441.55,1,0,S05_00010,MULTIPLE_SMALL_TRANSACTIONS,Multiple individually small transactions combine into an unusually large total amount,HIGH,7,1128608.27,57.24,0.5707343304561138
S05_000066,293,TRANSFER,91997.65,C1595762401,1831025.39,1739027.74,C_SYN_532418417,0.0,91997.65,1,0,S05_00010,MULTIPLE_SMALL_TRANSACTIONS,Multiple individually small transactions combine into an unusually large total amount,HIGH,7,1128608.27,35.96,0.616380458820399
S05_000067,293,TRANSFER,30643.41,C1595762401,1739027.74,1708384.33,C_SYN_455753743,0.0,30643.41,1,0,S05_00010,MULTIPLE_SMALL_TRANSACTIONS,Multiple individually small transactions combine into an unusually large total amount,HIGH,7,1128608.27,11.98,0.6489880776714925
S05_000068,294,TRANSFER,189347.34,C1595762401,1708384.33,1519036.99,C_SYN_770388818,0.0,189347.34,1,0,S05_00010,MULTIPLE_SMALL_TRANSACTIONS,Multiple individually small transactions combine into an unusually large total amount,HIGH,7,1128608.27,74.01,0.660629022510409
S05_000069,294,TRANSFER,238553.38,C1595762401,1519036.99,1280483.61,C_SYN_649727410,0.0,238553.38,1,0,S05_00010,MULTIPLE_SMALL_TRANSACTIONS,Multiple individually small transactions combine into an unusually large total amount,HIGH,7,1128608.27,93.24,0.7429761601789565
S05_000070,296,TRANSFER,207241.45,C1595762401,1280483.61,1073242.16,C_SYN_152212945,0.0,207241.45,1,0,S05_00010,MULTIPLE_SMALL_TRANSACTIONS,Multiple individually small transactions combine into an unusually large total amount,HIGH,7,1128608.27,81.0,0.8813922030599047
S05_000071,21,TRANSFER,172384.37,C1332364115,4641672.54,4469288.17,C_SYN_159488479,0.0,172384.37,1,0,S05_00011,MULTIPLE_SMALL_TRANSACTIONS,Multiple individually small transactions combine into an unusually large total amount,HIGH,7,963199.93,67.38,0.20751139200353846
S05_000072,21,TRANSFER,214009.3,C1332364115,4469288.17,4255278.87,C_SYN_641174589,0.0,214009.3,1,0,S05_00011,MULTIPLE_SMALL_TRANSACTIONS,Multiple individually small transactions combine into an unusually large total amount,HIGH,7,963199.93,83.65,0.21551528864606645
