record_id,step,type,amount,nameOrig,oldbalanceOrg,newbalanceOrig,nameDest,oldbalanceDest,newbalanceDest,isFraud,isFlaggedFraud,scenario_id,scenario_type,fraud_reason,severity,chain_position,chain_role,chain_total_amount,cashout_ratio,chain_id
S06_000001,300,TRANSFER,25909264.32,C132461955,54327844.98,28418580.66,C_SYN_941095289,0.0,25909264.32,1,0,S06_00001,TRANSFER_THEN_CASH_OUT,Large transfer followed by rapid cash withdrawal of most transferred funds,CRITICAL,1,TRANSFER,49381456.6,0.9059,S06_00001
S06_000002,303,CASH_OUT,23472192.28,C_SYN_941095289,25909264.32,2437072.04,CASH_OUT,0.0,0.0,1,0,S06_00001,TRANSFER_THEN_CASH_OUT,Large transfer followed by rapid cash withdrawal of most transferred funds,CRITICAL,2,CASH_OUT,49381456.6,0.9059,S06_00001
S06_000003,19,TRANSFER,1965278.15,C797511468,4227094.12,2261815.97,C_SYN_342285876,0.0,1965278.15,1,0,S06_00002,TRANSFER_THEN_CASH_OUT,Large transfer followed by rapid cash withdrawal of most transferred funds,CRITICAL,1,TRANSFER,3495391.37,0.7786,S06_00002
S06_000004,21,CASH_OUT,1530113.22,C_SYN_342285876,1965278.15,435164.93,CASH_OUT,0.0,0.0,1,0,S06_00002,TRANSFER_THEN_CASH_OUT,Large transfer followed by rapid cash withdrawal of most transferred funds,CRITICAL,2,CASH_OUT,3495391.37,0.7786,S06_00002
S06_000005,189,TRANSFER,2671029.03,C1307581773,5640286.89,2969257.86,C_SYN_130349564,0.0,2671029.03,1,0,S06_00003,TRANSFER_THEN_CASH_OUT,Large transfer followed by rapid cash withdrawal of most transferred funds,CRITICAL,1,TRANSFER,5004163.01,0.8735,S06_00003
S06_000006,190,CASH_OUT,2333133.98,C_SYN_130349564,2671029.03,337895.05,CASH_OUT,0.0,0.0,1,0,S06_00003,TRANSFER_THEN_CASH_OUT,Large transfer followed by rapid cash withdrawal of most transferred funds,CRITICAL,2,CASH_OUT,5004163.01,0.8735,S06_00003
S06_000007,379,TRANSFER,1757128.39,C2044296870,3279437.38,1522308.99,C_SYN_985063869,0.0,1757128.39,1,0,S06_00004,TRANSFER_THEN_CASH_OUT,Large transfer followed by rapid cash withdrawal of most transferred funds,CRITICAL,1,TRANSFER,3177641.81,0.8084,S06_00004
S06_000008,382,CASH_OUT,1420513.42,C_SYN_985063869,1757128.39,336614.97,CASH_OUT,0.0,0.0,1,0,S06_00004,TRANSFER_THEN_CASH_OUT,Large transfer followed by rapid cash withdrawal of most transferred funds,CRITICAL,2,CASH_OUT,3177641.81,0.8084,S06_00004
S06_000009,256,TRANSFER,1657409.03,C1614221727,2768741.77,1111332.74,C_SYN_379394470,0.0,1657409.03,1,0,S06_00005,TRANSFER_THEN_CASH_OUT,Large transfer followed by rapid cash withdrawal of most transferred funds,CRITICAL,1,TRANSFER,3101855.87,0.8715,S06_00005
S06_000010,257,CASH_OUT,1444446.84,C_SYN_379394470,1657409.03,212962.19,CASH_OUT,0.0,0.0,1,0,S06_00005,TRANSFER_THEN_CASH_OUT,Large transfer followed by rapid cash withdrawal of most transferred funds,CRITICAL,2,CASH_OUT,3101855.87,0.8715,S06_00005
S06_000011,387,TRANSFER,2020696.11,C116372731,3497610.42,1476914.31,C_SYN_916698734,0.0,2020696.11,1,0,S06_00006,TRANSFER_THEN_CASH_OUT,Large transfer followed by rapid cash withdrawal of most transferred funds,CRITICAL,1,TRANSFER,3542670.78,0.7532,S06_00006
S06_000012,388,CASH_OUT,1521974.67,C_SYN_916698734,2020696.11,498721.44,CASH_OUT,0.0,0.0,1,0,S06_00006,TRANSFER_THEN_CASH_OUT,Large transfer followed by rapid cash withdrawal of most transferred funds,CRITICAL,2,CASH_OUT,3542670.78,0.7532,S06_00006
S06_000013,407,TRANSFER,2582190.39,C1045432634,5584044.26,3001853.87,C_SYN_365047041,0.0,2582190.39,1,0,S06_00007,TRANSFER_THEN_CASH_OUT,Large transfer followed by rapid cash withdrawal of most transferred funds,CRITICAL,1,TRANSFER,4652477.02,0.8018,S06_00007
S06_000014,409,CASH_OUT,2070286.63,C_SYN_365047041,2582190.39,511903.76,CASH_OUT,0.0,0.0,1,0,S06_00007,TRANSFER_THEN_CASH_OUT,Large transfer followed by rapid cash withdrawal of most transferred funds,CRITICAL,2,CASH_OUT,4652477.02,0.8018,S06_00007
