record_id,step,type,amount,nameOrig,oldbalanceOrg,newbalanceOrig,nameDest,oldbalanceDest,newbalanceDest,isFraud,isFlaggedFraud,scenario_id,scenario_type,fraud_reason,severity,chain_position,senders_in_scenario,common_destination,balance_usage_ratio
S08_000001,272,TRANSFER,813608.3,C132461955,3578239.32,2764631.02,C_SYN_299900595,0.0,813608.3,1,0,S08_00001,DESTINATION_CONCENTRATION,Multiple independent accounts transferred funds to the same destination within a short time window,HIGH,1,5,C_SYN_299900595,0.2274
S08_000002,275,TRANSFER,407071.46,C765587136,1460216.38,1053144.92,C_SYN_299900595,0.0,407071.46,1,0,S08_00001,DESTINATION_CONCENTRATION,Multiple independent accounts transferred funds to the same destination within a short time window,HIGH,2,5,C_SYN_299900595,0.2788
S08_000003,276,TRANSFER,813608.3,C863106680,3711769.64,2898161.34,C_SYN_299900595,0.0,813608.3,1,0,S08_00001,DESTINATION_CONCENTRATION,Multiple independent accounts transferred funds to the same destination within a short time window,HIGH,3,5,C_SYN_299900595,0.2192
S08_000004,276,TRANSFER,529035.78,C1154001595,2424570.01,1895534.23,C_SYN_299900595,0.0,529035.78,1,0,S08_00001,DESTINATION_CONCENTRATION,Multiple independent accounts transferred funds to the same destination within a short time window,HIGH,4,5,C_SYN_299900595,0.2182
S08_000005,275,TRANSFER,167053.69,C1748225367,630249.71,463196.02,C_SYN_299900595,0.0,167053.69,1,0,S08_00001,DESTINATION_CONCENTRATION,Multiple independent accounts transferred funds to the same destination within a short time window,HIGH,5,5,C_SYN_299900595,0.2651
S08_000006,314,TRANSFER,813608.3,C430820781,3374780.13,2561171.83,C_SYN_332968651,0.0,813608.3,1,0,S08_00002,DESTINATION_CONCENTRATION,Multiple independent accounts transferred funds to the same destination within a short time window,HIGH,1,5,C_SYN_332968651,0.2411
S08_000007,317,TRANSFER,813608.3,C1401063257,3335624.36,2522016.06,C_SYN_332968651,0.0,813608.3,1,0,S08_00002,DESTINATION_CONCENTRATION,Multiple independent accounts transferred funds to the same destination within a short time window,HIGH,2,5,C_SYN_332968651,0.2439
S08_000008,319,TRANSFER,809540.06,C816253096,3116046.8,2306506.74,C_SYN_332968651,0.0,809540.06,1,0,S08_00002,DESTINATION_CONCENTRATION,Multiple independent accounts transferred funds to the same destination within a short time window,HIGH,3,5,C_SYN_332968651,0.2598
S08_000009,317,TRANSFER,107870.35,C1571300949,409854.55,301984.2,C_SYN_332968651,0.0,107870.35,1,0,S08_00002,DESTINATION_CONCENTRATION,Multiple independent accounts transferred funds to the same destination within a short time window,HIGH,4,5,C_SYN_332968651,0.2632
S08_000010,316,TRANSFER,813608.3,C809797098,2904317.71,2090709.41,C_SYN_332968651,0.0,813608.3,1,0,S08_00002,DESTINATION_CONCENTRATION,Multiple independent accounts transferred funds to the same destination within a short time window,HIGH,5,5,C_SYN_332968651,0.2801
S08_000011,172,TRANSFER,212971.84,C745134475,1046395.1,833423.26,C_SYN_832395540,0.0,212971.84,1,0,S08_00003,DESTINATION_CONCENTRATION,Multiple independent accounts transferred funds to the same destination within a short time window,HIGH,1,5,C_SYN_832395540,0.2035
S08_000012,171,TRANSFER,664955.17,C1592765369,2631174.85,1966219.68,C_SYN_832395540,0.0,664955.17,1,0,S08_00003,DESTINATION_CONCENTRATION,Multiple independent accounts transferred funds to the same destination within a short time window,HIGH,2,5,C_SYN_832395540,0.2527
S08_000013,170,TRANSFER,96927.29,C152266458,374288.43,277361.14,C_SYN_832395540,0.0,96927.29,1,0,S08_00003,DESTINATION_CONCENTRATION,Multiple independent accounts transferred funds to the same destination within a short time window,HIGH,3,5,C_SYN_832395540,0.259
S08_000014,169,TRANSFER,104480.93,C208449500,443288.07,338807.14,C_SYN_832395540,0.0,104480.93,1,0,S08_00003,DESTINATION_CONCENTRATION,Multiple independent accounts transferred funds to the same destination within a short time window,HIGH,4,5,C_SYN_832395540,0.2357
S08_000015,170,TRANSFER,267261.78,C708480265,1039159.23,771897.45,C_SYN_832395540,0.0,267261.78,1,0,S08_00003,DESTINATION_CONCENTRATION,Multiple independent accounts transferred funds to the same destination within a short time window,HIGH,5,5,C_SYN_832395540,0.2572
S08_000016,394,TRANSFER,556940.04,C244546539,2423552.7,1866612.66,C_SYN_852288765,0.0,556940.04,1,0,S08_00004,DESTINATION_CONCENTRATION,Multiple independent accounts transferred funds to the same destination within a short time window,HIGH,1,5,C_SYN_852288765,0.2298
S08_000017,391,TRANSFER,813608.3,C1847943990,3793610.8,2980002.5,C_SYN_852288765,0.0,813608.3,1,0,S08_00004,DESTINATION_CONCENTRATION,Multiple independent accounts transferred funds to the same destination within a short time window,HIGH,2,5,C_SYN_852288765,0.2145
S08_000018,395,TRANSFER,363623.36,C990940090,1778113.98,1414490.62,C_SYN_852288765,0.0,363623.36,1,0,S08_00004,DESTINATION_CONCENTRATION,Multiple independent accounts transferred funds to the same destination within a short time window,HIGH,3,5,C_SYN_852288765,0.2045
S08_000019,394,TRANSFER,813608.3,C1183293425,2902825.0,2089216.7,C_SYN_852288765,0.0,813608.3,1,0,S08_00004,DESTINATION_CONCENTRATION,Multiple independent accounts transferred funds to the same destination within a short time window,HIGH,4,5,C_SYN_852288765,0.2803
S08_000020,394,TRANSFER,813608.3,C1888966475,3178786.79,2365178.49,C_SYN_852288765,0.0,813608.3,1,0,S08_00004,DESTINATION_CONCENTRATION,Multiple independent accounts transferred funds to the same destination within a short time window,HIGH,5,5,C_SYN_852288765,0.2559
S08_000021,217,TRANSFER,741261.32,C2123557302,3197834.04,2456572.72,C_SYN_558502041,0.0,741261.32,1,0,S08_00005,DESTINATION_CONCENTRATION,Multiple independent accounts transferred funds to the same destination within a short time window,HIGH,1,5,C_SYN_558502041,0.2318
S08_000022,217,TRANSFER,330027.01,C702133605,1236908.37,906881.36,C_SYN_558502041,0.0,330027.01,1,0,S08_00005,DESTINATION_CONCENTRATION,Multiple independent accounts transferred funds to the same destination within a short time window,HIGH,2,5,C_SYN_558502041,0.2668
S08_000023,220,TRANSFER,813608.3,C1836776489,3790086.18,2976477.88,C_SYN_558502041,0.0,813608.3,1,0,S08_00005,DESTINATION_CONCENTRATION,Multiple independent accounts transferred funds to the same destination within a short time window,HIGH,3,5,C_SYN_558502041,0.2147
S08_000024,219,TRANSFER,813608.3,C1839159381,2864812.24,2051203.94,C_SYN_558502041,0.0,813608.3,1,0,S08_00005,DESTINATION_CONCENTRATION,Multiple independent accounts transferred funds to the same destination within a short time window,HIGH,4,5,C_SYN_558502041,0.284
S08_000025,217,TRANSFER,306666.22,C1906170032,1408674.58,1102008.36,C_SYN_558502041,0.0,306666.22,1,0,S08_00005,DESTINATION_CONCENTRATION,Multiple independent accounts transferred funds to the same destination within a short time window,HIGH,5,5,C_SYN_558502041,0.2177
S08_000026,490,TRANSFER,239611.92,C37215631,880287.13,640675.21,C_SYN_418019332,0.0,239611.92,1,0,S08_00006,DESTINATION_CONCENTRATION,Multiple independent accounts transferred funds to the same destination within a short time window,HIGH,1,5,C_SYN_418019332,0.2722
S08_000027,495,TRANSFER,300849.86,C1486120474,1202300.45,901450.59,C_SYN_418019332,0.0,300849.86,1,0,S08_00006,DESTINATION_CONCENTRATION,Multiple independent accounts transferred funds to the same destination within a short time window,HIGH,2,5,C_SYN_418019332,0.2502
S08_000028,495,TRANSFER,308240.37,C1074303263,1416182.41,1107942.04,C_SYN_418019332,0.0,308240.37,1,0,S08_00006,DESTINATION_CONCENTRATION,Multiple independent accounts transferred funds to the same destination within a short time window,HIGH,3,5,C_SYN_418019332,0.2177
S08_000029,494,TRANSFER,813608.3,C646701664,3423926.02,2610317.72,C_SYN_418019332,0.0,813608.3,1,0,S08_00006,DESTINATION_CONCENTRATION,Multiple independent accounts transferred funds to the same destination within a short time window,HIGH,4,5,C_SYN_418019332,0.2376
S08_000030,494,TRANSFER,813608.3,C1842890309,3883654.05,3070045.75,C_SYN_418019332,0.0,813608.3,1,0,S08_00006,DESTINATION_CONCENTRATION,Multiple independent accounts transferred funds to the same destination within a short time window,HIGH,5,5,C_SYN_418019332,0.2095
S08_000031,399,TRANSFER,813608.3,C880684499,3485578.7,2671970.4,C_SYN_190053374,0.0,813608.3,1,0,S08_00007,DESTINATION_CONCENTRATION,Multiple independent accounts transferred funds to the same destination within a short time window,HIGH,1,5,C_SYN_190053374,0.2334
S08_000032,398,TRANSFER,70039.85,C1788977065,256474.52,186434.67,C_SYN_190053374,0.0,70039.85,1,0,S08_00007,DESTINATION_CONCENTRATION,Multiple independent accounts transferred funds to the same destination within a short time window,HIGH,2,5,C_SYN_190053374,0.2731
S08_000033,403,TRANSFER,433041.39,C1608733215,1845993.1,1412951.71,C_SYN_190053374,0.0,433041.39,1,0,S08_00007,DESTINATION_CONCENTRATION,Multiple independent accounts transferred funds to the same destination within a short time window,HIGH,3,5,C_SYN_190053374,0.2346
S08_000034,400,TRANSFER,647348.69,C760685998,2852623.61,2205274.92,C_SYN_190053374,0.0,647348.69,1,0,S08_00007,DESTINATION_CONCENTRATION,Multiple independent accounts transferred funds to the same destination within a short time window,HIGH,4,5,C_SYN_190053374,0.2269
S08_000035,400,TRANSFER,813608.3,C688108808,3998299.29,3184690.99,C_SYN_190053374,0.0,813608.3,1,0,S08_00007,DESTINATION_CONCENTRATION,Multiple independent accounts transferred funds to the same destination within a short time window,HIGH,5,5,C_SYN_190053374,0.2035
S08_000036,582,TRANSFER,813608.3,C337910810,3208424.08,2394815.78,C_SYN_792440149,0.0,813608.3,1,0,S08_00008,DESTINATION_CONCENTRATION,Multiple independent accounts transferred funds to the same destination within a short time window,HIGH,1,5,C_SYN_792440149,0.2536
S08_000037,581,TRANSFER,58643.6,C263601032,275947.94,217304.34,C_SYN_792440149,0.0,58643.6,1,0,S08_00008,DESTINATION_CONCENTRATION,Multiple independent accounts transferred funds to the same destination within a short time window,HIGH,2,5,C_SYN_792440149,0.2125
S08_000038,579,TRANSFER,363808.84,C1284042271,1755348.69,1391539.85,C_SYN_792440149,0.0,363808.84,1,0,S08_00008,DESTINATION_CONCENTRATION,Multiple independent accounts transferred funds to the same destination within a short time window,HIGH,3,5,C_SYN_792440149,0.2073
S08_000039,583,TRANSFER,304937.23,C1353138830,1230253.02,925315.79,C_SYN_792440149,0.0,304937.23,1,0,S08_00008,DESTINATION_CONCENTRATION,Multiple independent accounts transferred funds to the same destination within a short time window,HIGH,4,5,C_SYN_792440149,0.2479
S08_000040,583,TRANSFER,441856.94,C820794384,1697571.39,1255714.45,C_SYN_792440149,0.0,441856.94,1,0,S08_00008,DESTINATION_CONCENTRATION,Multiple independent accounts transferred funds to the same destination within a short time window,HIGH,5,5,C_SYN_792440149,0.2603
S08_000041,259,TRANSFER,813608.3,C177429857,3470951.42,2657343.12,C_SYN_392121203,0.0,813608.3,1,0,S08_00009,DESTINATION_CONCENTRATION,Multiple independent accounts transferred funds to the same destination within a short time window,HIGH,1,5,C_SYN_392121203,0.2344
S08_000042,260,TRANSFER,813608.3,C474701274,3692686.61,2879078.31,C_SYN_392121203,0.0,813608.3,1,0,S08_00009,DESTINATION_CONCENTRATION,Multiple independent accounts transferred funds to the same destination within a short time window,HIGH,2,5,C_SYN_392121203,0.2203
S08_000043,264,TRANSFER,43396.46,C1315769573,213266.02,169869.56,C_SYN_392121203,0.0,43396.46,1,0,S08_00009,DESTINATION_CONCENTRATION,Multiple independent accounts transferred funds to the same destination within a short time window,HIGH,3,5,C_SYN_392121203,0.2035
S08_000044,262,TRANSFER,386485.46,C1064889935,1676246.57,1289761.11,C_SYN_392121203,0.0,386485.46,1,0,S08_00009,DESTINATION_CONCENTRATION,Multiple independent accounts transferred funds to the same destination within a short time window,HIGH,4,5,C_SYN_392121203,0.2306
S08_000045,262,TRANSFER,813608.3,C2040989235,4033604.0,3219995.7,C_SYN_392121203,0.0,813608.3,1,0,S08_00009,DESTINATION_CONCENTRATION,Multiple independent accounts transferred funds to the same destination within a short time window,HIGH,5,5,C_SYN_392121203,0.2017
S08_000046,386,TRANSFER,144145.11,C866488591,536526.9,392381.79,C_SYN_107654909,0.0,144145.11,1,0,S08_00010,DESTINATION_CONCENTRATION,Multiple independent accounts transferred funds to the same destination within a short time window,HIGH,1,5,C_SYN_107654909,0.2687
S08_000047,389,TRANSFER,813608.3,C399449593,4039502.1,3225893.8,C_SYN_107654909,0.0,813608.3,1,0,S08_00010,DESTINATION_CONCENTRATION,Multiple independent accounts transferred funds to the same destination within a short time window,HIGH,2,5,C_SYN_107654909,0.2014
S08_000048,386,TRANSFER,195229.26,C1415706390,764902.32,569673.06,C_SYN_107654909,0.0,195229.26,1,0,S08_00010,DESTINATION_CONCENTRATION,Multiple independent accounts transferred funds to the same destination within a short time window,HIGH,3,5,C_SYN_107654909,0.2552
S08_000049,390,TRANSFER,678868.6,C439297515,3069204.44,2390335.84,C_SYN_107654909,0.0,678868.6,1,0,S08_00010,DESTINATION_CONCENTRATION,Multiple independent accounts transferred funds to the same destination within a short time window,HIGH,4,5,C_SYN_107654909,0.2212
S08_000050,389,TRANSFER,629181.4,C1022249511,3132364.3,2503182.9,C_SYN_107654909,0.0,629181.4,1,0,S08_00010,DESTINATION_CONCENTRATION,Multiple independent accounts transferred funds to the same destination within a short time window,HIGH,5,5,C_SYN_107654909,0.2009
