record_id,step,type,amount,nameOrig,oldbalanceOrg,newbalanceOrig,nameDest,oldbalanceDest,newbalanceDest,isFraud,isFlaggedFraud,scenario_id,scenario_type,fraud_reason,severity,cycle_position,cycle_length,next_account,balance_usage_ratio
S09_000001,436,TRANSFER,813608.3,C132461955,3740963.57,2927355.27,C765587136,0.0,813608.3,1,0,S09_00001,CIRCULAR_TRANSACTION,"Funds moved through a closed chain of accounts, forming a circular transaction pattern",CRITICAL,1,4,C765587136,0.2175
S09_000002,437,TRANSFER,525205.79,C765587136,1961133.1,1435927.31,C863106680,0.0,525205.79,1,0,S09_00001,CIRCULAR_TRANSACTION,"Funds moved through a closed chain of accounts, forming a circular transaction pattern",CRITICAL,2,4,C863106680,0.2678
S09_000003,438,TRANSFER,813608.3,C863106680,2918515.01,2104906.71,C1154001595,0.0,813608.3,1,0,S09_00001,CIRCULAR_TRANSACTION,"Funds moved through a closed chain of accounts, forming a circular transaction pattern",CRITICAL,3,4,C1154001595,0.2788
S09_000004,439,TRANSFER,813608.3,C1154001595,3581237.29,2767628.99,C132461955,0.0,813608.3,1,0,S09_00001,CIRCULAR_TRANSACTION,"Funds moved through a closed chain of accounts, forming a circular transaction pattern",CRITICAL,4,4,C132461955,0.2272
S09_000005,131,TRANSFER,813608.3,C417116011,4031319.11,3217710.81,C2013949205,0.0,813608.3,1,0,S09_00002,CIRCULAR_TRANSACTION,"Funds moved through a closed chain of accounts, forming a circular transaction pattern",CRITICAL,1,4,C2013949205,0.2018
S09_000006,132,TRANSFER,203846.69,C2013949205,778390.35,574543.66,C1044660754,0.0,203846.69,1,0,S09_00002,CIRCULAR_TRANSACTION,"Funds moved through a closed chain of accounts, forming a circular transaction pattern",CRITICAL,2,4,C1044660754,0.2619
S09_000007,133,TRANSFER,813608.3,C1044660754,3071458.2,2257849.9,C1755412270,0.0,813608.3,1,0,S09_00002,CIRCULAR_TRANSACTION,"Funds moved through a closed chain of accounts, forming a circular transaction pattern",CRITICAL,3,4,C1755412270,0.2649
S09_000008,134,TRANSFER,136068.15,C1755412270,583342.48,447274.33,C417116011,0.0,136068.15,1,0,S09_00002,CIRCULAR_TRANSACTION,"Funds moved through a closed chain of accounts, forming a circular transaction pattern",CRITICAL,4,4,C417116011,0.2333
S09_000009,561,TRANSFER,813608.3,C1348119361,3335624.36,2522016.06,C1205205898,0.0,813608.3,1,0,S09_00003,CIRCULAR_TRANSACTION,"Funds moved through a closed chain of accounts, forming a circular transaction pattern",CRITICAL,1,4,C1205205898,0.2439
S09_000010,562,TRANSFER,813608.3,C1205205898,4036012.41,3222404.11,C579121041,0.0,813608.3,1,0,S09_00003,CIRCULAR_TRANSACTION,"Funds moved through a closed chain of accounts, forming a circular transaction pattern",CRITICAL,2,4,C579121041,0.2016
S09_000011,563,TRANSFER,813608.3,C579121041,2958206.27,2144597.97,C778523796,0.0,813608.3,1,0,S09_00003,CIRCULAR_TRANSACTION,"Funds moved through a closed chain of accounts, forming a circular transaction pattern",CRITICAL,3,4,C778523796,0.275
