record_id,step,type,amount,nameOrig,oldbalanceOrg,newbalanceOrig,nameDest,oldbalanceDest,newbalanceDest,isFraud,isFlaggedFraud,scenario_id,scenario_type,fraud_reason,severity,dispersion_position,destinations_in_scenario,common_sender,balance_usage_ratio
S10_000001,23,TRANSFER,723207.38,C132461955,14464147.6,13740940.22,C_SYN_299900595,0.0,723207.38,1,0,S10_00001,FUND_DISPERSION,One account rapidly distributed funds across multiple independent destinations,HIGH,1,5,C132461955,0.05
S10_000002,23,TRANSFER,723207.38,C132461955,13740940.22,13017732.84,C_SYN_962061404,0.0,723207.38,1,0,S10_00001,FUND_DISPERSION,One account rapidly distributed funds across multiple independent destinations,HIGH,2,5,C132461955,0.0526
S10_000003,24,TRANSFER,723207.38,C132461955,13017732.84,12294525.46,C_SYN_887846414,0.0,723207.38,1,0,S10_00001,FUND_DISPERSION,One account rapidly distributed funds across multiple independent destinations,HIGH,3,5,C132461955,0.0556
S10_000004,23,TRANSFER,723207.38,C132461955,12294525.46,11571318.08,C_SYN_227521863,0.0,723207.38,1,0,S10_00001,FUND_DISPERSION,One account rapidly distributed funds across multiple independent destinations,HIGH,4,5,C132461955,0.0588
S10_000005,22,TRANSFER,723207.38,C132461955,11571318.08,10848110.7,C_SYN_523734972,0.0,723207.38,1,0,S10_00001,FUND_DISPERSION,One account rapidly distributed funds across multiple independent destinations,HIGH,5,5,C132461955,0.0625
S10_000006,166,TRANSFER,35079.35,C1959200319,750532.12,715452.77,C_SYN_454088427,0.0,35079.35,1,0,S10_00002,FUND_DISPERSION,One account rapidly distributed funds across multiple independent destinations,HIGH,1,5,C1959200319,0.0467
S10_000007,161,TRANSFER,27086.4,C1959200319,715452.77,688366.37,C_SYN_909827741,0.0,27086.4,1,0,S10_00002,FUND_DISPERSION,One account rapidly distributed funds across multiple independent destinations,HIGH,2,5,C1959200319,0.0379
S10_000008,163,TRANSFER,34729.34,C1959200319,688366.37,653637.03,C_SYN_103344769,0.0,34729.34,1,0,S10_00002,FUND_DISPERSION,One account rapidly distributed funds across multiple independent destinations,HIGH,3,5,C1959200319,0.0505
S10_000009,164,TRANSFER,37651.14,C1959200319,653637.03,615985.89,C_SYN_880932287,0.0,37651.14,1,0,S10_00002,FUND_DISPERSION,One account rapidly distributed funds across multiple independent destinations,HIGH,4,5,C1959200319,0.0576
S10_000010,166,TRANSFER,53086.8,C1959200319,615985.89,562899.09,C_SYN_887716372,0.0,53086.8,1,0,S10_00002,FUND_DISPERSION,One account rapidly distributed funds across multiple independent destinations,HIGH,5,5,C1959200319,0.0862
S10_000011,246,TRANSFER,723207.38,C230153255,14464147.6,13740940.22,C_SYN_251079598,0.0,723207.38,1,0,S10_00003,FUND_DISPERSION,One account rapidly distributed funds across multiple independent destinations,HIGH,1,5,C230153255,0.05
S10_000012,248,TRANSFER,723207.38,C230153255,13740940.22,13017732.84,C_SYN_608464061,0.0,723207.38,1,0,S10_00003,FUND_DISPERSION,One account rapidly distributed funds across multiple independent destinations,HIGH,2,5,C230153255,0.0526
S10_000013,245,TRANSFER,723207.38,C230153255,13017732.84,12294525.46,C_SYN_957592370,0.0,723207.38,1,0,S10_00003,FUND_DISPERSION,One account rapidly distributed funds across multiple independent destinations,HIGH,3,5,C230153255,0.0556
S10_000014,247,TRANSFER,723207.38,C230153255,12294525.46,11571318.08,C_SYN_668919915,0.0,723207.38,1,0,S10_00003,FUND_DISPERSION,One account rapidly distributed funds across multiple independent destinations,HIGH,4,5,C230153255,0.0588
S10_000015,245,TRANSFER,723207.38,C230153255,11571318.08,10848110.7,C_SYN_161136438,0.0,723207.38,1,0,S10_00003,FUND_DISPERSION,One account rapidly distributed funds across multiple independent destinations,HIGH,5,5,C230153255,0.0625
S10_000016,457,TRANSFER,723207.38,C1831794639,12471031.36,11747823.98,C_SYN_168574553,0.0,723207.38,1,0,S10_00004,FUND_DISPERSION,One account rapidly distributed funds across multiple independent destinations,HIGH,1,5,C1831794639,0.058
S10_000017,458,TRANSFER,723207.38,C1831794639,11747823.98,11024616.6,C_SYN_519498548,0.0,723207.38,1,0,S10_00004,FUND_DISPERSION,One account rapidly distributed funds across multiple independent destinations,HIGH,2,5,C1831794639,0.0616
S10_000018,458,TRANSFER,533760.52,C1831794639,11024616.6,10490856.08,C_SYN_891274835,0.0,533760.52,1,0,S10_00004,FUND_DISPERSION,One account rapidly distributed funds across multiple independent destinations,HIGH,3,5,C1831794639,0.0484
S10_000019,460,TRANSFER,592216.39,C1831794639,10490856.08,9898639.69,C_SYN_916698734,0.0,592216.39,1,0,S10_00004,FUND_DISPERSION,One account rapidly distributed funds across multiple independent destinations,HIGH,4,5,C1831794639,0.0565
S10_000020,458,TRANSFER,545366.17,C1831794639,9898639.69,9353273.52,C_SYN_887110843,0.0,545366.17,1,0,S10_00004,FUND_DISPERSION,One account rapidly distributed funds across multiple independent destinations,HIGH,5,5,C1831794639,0.0551
S10_000021,207,TRANSFER,100315.73,C704404608,1729702.72,1629386.99,C_SYN_234489564,0.0,100315.73,1,0,S10_00005,FUND_DISPERSION,One account rapidly distributed funds across multiple independent destinations,HIGH,1,5,C704404608,0.058
S10_000022,207,TRANSFER,91445.03,C704404608,1629386.99,1537941.96,C_SYN_496360081,0.0,91445.03,1,0,S10_00005,FUND_DISPERSION,One account rapidly distributed funds across multiple independent destinations,HIGH,2,5,C704404608,0.0561
S10_000023,202,TRANSFER,63317.59,C704404608,1537941.96,1474624.37,C_SYN_207944665,0.0,63317.59,1,0,S10_00005,FUND_DISPERSION,One account rapidly distributed funds across multiple independent destinations,HIGH,3,5,C704404608,0.0412
S10_000024,206,TRANSFER,103828.14,C704404608,1474624.37,1370796.23,C_SYN_957937451,0.0,103828.14,1,0,S10_00005,FUND_DISPERSION,One account rapidly distributed funds across multiple independent destinations,HIGH,4,5,C704404608,0.0704
S10_000025,203,TRANSFER,73519.19,C704404608,1370796.23,1297277.04,C_SYN_913891745,0.0,73519.19,1,0,S10_00005,FUND_DISPERSION,One account rapidly distributed funds across multiple independent destinations,HIGH,5,5,C704404608,0.0536
S10_000026,384,TRANSFER,66451.33,C2018039412,1491419.96,1424968.63,C_SYN_438175028,0.0,66451.33,1,0,S10_00006,FUND_DISPERSION,One account rapidly distributed funds across multiple independent destinations,HIGH,1,5,C2018039412,0.0446
S10_000027,380,TRANSFER,93854.6,C2018039412,1424968.63,1331114.03,C_SYN_472593431,0.0,93854.6,1,0,S10_00006,FUND_DISPERSION,One account rapidly distributed funds across multiple independent destinations,HIGH,2,5,C2018039412,0.0659
S10_000028,380,TRANSFER,52892.19,C2018039412,1331114.03,1278221.84,C_SYN_558502041,0.0,52892.19,1,0,S10_00006,FUND_DISPERSION,One account rapidly distributed funds across multiple independent destinations,HIGH,3,5,C2018039412,0.0397
S10_000029,383,TRANSFER,92294.75,C2018039412,1278221.84,1185927.09,C_SYN_232862715,0.0,92294.75,1,0,S10_00006,FUND_DISPERSION,One account rapidly distributed funds across multiple independent destinations,HIGH,4,5,C2018039412,0.0722
S10_000030,382,TRANSFER,67362.12,C2018039412,1185927.09,1118564.97,C_SYN_559708603,0.0,67362.12,1,0,S10_00006,FUND_DISPERSION,One account rapidly distributed funds across multiple independent destinations,HIGH,5,5,C2018039412,0.0568
S10_000031,490,TRANSFER,22221.29,C1269761565,478776.04,456554.75,C_SYN_988445520,0.0,22221.29,1,0,S10_00007,FUND_DISPERSION,One account rapidly distributed funds across multiple independent destinations,HIGH,1,5,C1269761565,0.0464
S10_000032,490,TRANSFER,31324.21,C1269761565,456554.75,425230.54,C_SYN_272552610,0.0,31324.21,1,0,S10_00007,FUND_DISPERSION,One account rapidly distributed funds across multiple independent destinations,HIGH,2,5,C1269761565,0.0686
S10_000033,491,TRANSFER,26553.32,C1269761565,425230.54,398677.22,C_SYN_191355424,0.0,26553.32,1,0,S10_00007,FUND_DISPERSION,One account rapidly distributed funds across multiple independent destinations,HIGH,3,5,C1269761565,0.0624
S10_000034,495,TRANSFER,17918.32,C1269761565,398677.22,380758.9,C_SYN_555094650,0.0,17918.32,1,0,S10_00007,FUND_DISPERSION,One account rapidly distributed funds across multiple independent destinations,HIGH,4,5,C1269761565,0.0449
S10_000035,492,TRANSFER,21676.87,C1269761565,380758.9,359082.03,C_SYN_418019332,0.0,21676.87,1,0,S10_00007,FUND_DISPERSION,One account rapidly distributed funds across multiple independent destinations,HIGH,5,5,C1269761565,0.0569
S10_000036,466,TRANSFER,301508.9,C947755325,4983571.8,4682062.9,C_SYN_206179285,0.0,301508.9,1,0,S10_00008,FUND_DISPERSION,One account rapidly distributed funds across multiple independent destinations,HIGH,1,5,C947755325,0.0605
S10_000037,467,TRANSFER,254602.98,C947755325,4682062.9,4427459.92,C_SYN_689324250,0.0,254602.98,1,0,S10_00008,FUND_DISPERSION,One account rapidly distributed funds across multiple independent destinations,HIGH,2,5,C947755325,0.0544
S10_000038,462,TRANSFER,243598.52,C947755325,4427459.92,4183861.4,C_SYN_363038498,0.0,243598.52,1,0,S10_00008,FUND_DISPERSION,One account rapidly distributed funds across multiple independent destinations,HIGH,3,5,C947755325,0.055
S10_000039,463,TRANSFER,278963.83,C947755325,4183861.4,3904897.57,C_SYN_670916578,0.0,278963.83,1,0,S10_00008,FUND_DISPERSION,One account rapidly distributed funds across multiple independent destinations,HIGH,4,5,C947755325,0.0667
S10_000040,466,TRANSFER,167218.72,C947755325,3904897.57,3737678.85,C_SYN_613653348,0.0,167218.72,1,0,S10_00008,FUND_DISPERSION,One account rapidly distributed funds across multiple independent destinations,HIGH,5,5,C947755325,0.0428
S10_000041,100,TRANSFER,723207.38,C1872840947,14464147.6,13740940.22,C_SYN_234987326,0.0,723207.38,1,0,S10_00009,FUND_DISPERSION,One account rapidly distributed funds across multiple independent destinations,HIGH,1,5,C1872840947,0.05
S10_000042,100,TRANSFER,723207.38,C1872840947,13740940.22,13017732.84,C_SYN_726049887,0.0,723207.38,1,0,S10_00009,FUND_DISPERSION,One account rapidly distributed funds across multiple independent destinations,HIGH,2,5,C1872840947,0.0526
S10_000043,100,TRANSFER,723207.38,C1872840947,13017732.84,12294525.46,C_SYN_685878246,0.0,723207.38,1,0,S10_00009,FUND_DISPERSION,One account rapidly distributed funds across multiple independent destinations,HIGH,3,5,C1872840947,0.0556
S10_000044,98,TRANSFER,723207.38,C1872840947,12294525.46,11571318.08,C_SYN_376406835,0.0,723207.38,1,0,S10_00009,FUND_DISPERSION,One account rapidly distributed funds across multiple independent destinations,HIGH,4,5,C1872840947,0.0588
S10_000045,99,TRANSFER,723207.38,C1872840947,11571318.08,10848110.7,C_SYN_371766524,0.0,723207.38,1,0,S10_00009,FUND_DISPERSION,One account rapidly distributed funds across multiple independent destinations,HIGH,5,5,C1872840947,0.0625
S10_000046,649,TRANSFER,450853.66,C1321804824,8625573.0,8174719.34,C_SYN_634096553,0.0,450853.66,1,0,S10_00010,FUND_DISPERSION,One account rapidly distributed funds across multiple independent destinations,HIGH,1,5,C1321804824,0.0523
S10_000047,651,TRANSFER,367289.22,C1321804824,8174719.34,7807430.12,C_SYN_349625132,0.0,367289.22,1,0,S10_00010,FUND_DISPERSION,One account rapidly distributed funds across multiple independent destinations,HIGH,2,5,C1321804824,0.0449
S10_000048,647,TRANSFER,582947.91,C1321804824,7807430.12,7224482.21,C_SYN_295995197,0.0,582947.91,1,0,S10_00010,FUND_DISPERSION,One account rapidly distributed funds across multiple independent destinations,HIGH,3,5,C1321804824,0.0747
S10_000049,646,TRANSFER,347329.52,C1321804824,7224482.21,6877152.69,C_SYN_672964792,0.0,347329.52,1,0,S10_00010,FUND_DISPERSION,One account rapidly distributed funds across multiple independent destinations,HIGH,4,5,C1321804824,0.0481
S10_000050,646,TRANSFER,407972.94,C1321804824,6877152.69,6469179.75,C_SYN_553094388,0.0,407972.94,1,0,S10_00010,FUND_DISPERSION,One account rapidly distributed funds across multiple independent destinations,HIGH,5,5,C1321804824,0.0593
S10_000051,261,TRANSFER,723207.38,C989323525,14464147.6,13740940.22,C_SYN_734324250,0.0,723207.38,1,0,S10_00011,FUND_DISPERSION,One account rapidly distributed funds across multiple independent destinations,HIGH,1,5,C989323525,0.05
S10_000052,263,TRANSFER,723207.38,C989323525,13740940.22,13017732.84,C_SYN_860672189,0.0,723207.38,1,0,S10_00011,FUND_DISPERSION,One account rapidly distributed funds across multiple independent destinations,HIGH,2,5,C989323525,0.0526
S10_000053,260,TRANSFER,723207.38,C989323525,13017732.84,12294525.46,C_SYN_102235000,0.0,723207.38,1,0,S10_00011,FUND_DISPERSION,One account rapidly distributed funds across multiple independent destinations,HIGH,3,5,C989323525,0.0556
S10_000054,261,TRANSFER,723207.38,C989323525,12294525.46,11571318.08,C_SYN_392121203,0.0,723207.38,1,0,S10_00011,FUND_DISPERSION,One account rapidly distributed funds across multiple independent destinations,HIGH,4,5,C989323525,0.0588
S10_000055,259,TRANSFER,723207.38,C989323525,11571318.08,10848110.7,C_SYN_540529868,0.0,723207.38,1,0,S10_00011,FUND_DISPERSION,One account rapidly distributed funds across multiple independent destinations,HIGH,5,5,C989323525,0.0625
S10_000056,390,TRANSFER,723207.38,C1371342946,12902479.52,12179272.14,C_SYN_588035440,0.0,723207.38,1,0,S10_00012,FUND_DISPERSION,One account rapidly distributed funds across multiple independent destinations,HIGH,1,5,C1371342946,0.0561
S10_000057,386,TRANSFER,637713.75,C1371342946,12179272.14,11541558.39,C_SYN_378710077,0.0,637713.75,1,0,S10_00012,FUND_DISPERSION,One account rapidly distributed funds across multiple independent destinations,HIGH,2,5,C1371342946,0.0524
S10_000058,387,TRANSFER,628750.17,C1371342946,11541558.39,10912808.22,C_SYN_116816569,0.0,628750.17,1,0,S10_00012,FUND_DISPERSION,One account rapidly distributed funds across multiple independent destinations,HIGH,3,5,C1371342946,0.0545
S10_000059,391,TRANSFER,723207.38,C1371342946,10912808.22,10189600.84,C_SYN_107654909,0.0,723207.38,1,0,S10_00012,FUND_DISPERSION,One account rapidly distributed funds across multiple independent destinations,HIGH,4,5,C1371342946,0.0663
S10_000060,386,TRANSFER,512741.2,C1371342946,10189600.84,9676859.64,C_SYN_943120422,0.0,512741.2,1,0,S10_00012,FUND_DISPERSION,One account rapidly distributed funds across multiple independent destinations,HIGH,5,5,C1371342946,0.0503
S10_000061,418,TRANSFER,63719.7,C468406374,1235701.0,1171981.3,C_SYN_876124029,0.0,63719.7,1,0,S10_00013,FUND_DISPERSION,One account rapidly distributed funds across multiple independent destinations,HIGH,1,5,C468406374,0.0516
S10_000062,416,TRANSFER,54796.35,C468406374,1171981.3,1117184.95,C_SYN_722318721,0.0,54796.35,1,0,S10_00013,FUND_DISPERSION,One account rapidly distributed funds across multiple independent destinations,HIGH,2,5,C468406374,0.0468
